Year,1997,2002,2006,2012,2017,Actual
1996,1.42151,0.0,0.0,0.0,0.0,1.43
1997,1.39656,0.0,0.0,0.0,0.0,1.39
1998,1.3853,0.0,0.0,0.0,0.0,1.38
1999,1.38001,0.0,0.0,0.0,0.0,1.34
2000,1.37987,0.0,0.0,0.0,0.0,1.36
2001,1.38393,1.34277,0.0,0.0,0.0,1.33
2002,1.39131,1.3324,0.0,0.0,0.0,1.32
2003,1.40124,1.32344,0.0,0.0,0.0,1.29
2004,1.41306,1.31686,0.0,0.0,0.0,1.29
2005,1.4263,1.31076,1.2601,0.0,0.0,1.26
2006,1.44045,1.30696,1.2942,0.0,0.0,1.32
2007,1.45516,1.30622,1.2467,0.0,0.0,1.34
2008,1.47005,1.30816,1.2297,0.0,0.0,1.37
2009,1.48475,1.31166,1.2232,0.0,0.0,1.37
2010,1.4989,1.31786,1.2184,1.3873,0.0,1.39
2011,1.51221,1.32471,1.2152,1.3879,0.0,1.39
2012,1.52449,1.33225,1.2135,1.3705,0.0,1.41
2013,1.53563,1.33929,1.2134,1.3897,0.0,1.43
2014,1.54634,1.34688,1.2148,1.3864,0.0,1.42
2015,1.55662,1.3537,1.2171,1.3798,1.4504,1.45
2016,1.56624,1.36028,1.2199,1.3715,1.4441,1.44
2017,1.57494,1.36509,1.2227,1.3626,1.4405,1.43
2018,1.58245,1.36881,1.2252,1.3539,1.4353,1.42
2019,1.58851,1.37303,1.2273,1.3461,1.4287,1.36
2020,1.59335,1.37522,1.2289,1.3397,1.4263,1.33
2021,1.59722,1.37673,1.2302,1.3348,1.4234,1.3
2022,1.60028,1.3789,1.2311,1.3315,1.4207,0.0
2023,1.60271,1.37992,1.232,1.3298,1.419,0.0
2024,1.6046,1.38091,1.2328,1.3294,1.4185,0.0
2025,1.60607,1.38191,1.2335,1.3302,1.4193,0.0
2026,1.6072,1.38214,1.2343,1.3316,1.4209,0.0
2027,1.60807,1.38253,1.2351,1.3333,1.4229,0.0
2028,1.60873,1.38304,1.236,1.3348,1.4249,0.0
2029,1.60922,1.38361,1.2371,1.3361,1.4266,0.0
2030,1.6096,1.3842,1.2382,1.3373,1.428,0.0
2031,1.6096,1.38477,1.2394,1.3383,1.429,0.0
2032,1.6096,1.38528,1.2408,1.3392,1.4299,0.0
2033,1.6096,1.38565,1.2422,1.3401,1.4307,0.0
2034,1.6096,1.38599,1.2436,1.341,1.4314,0.0
2035,1.6096,1.38629,1.245,1.3418,1.4319,0.0
2036,1.6096,1.38654,1.2465,1.3425,1.4325,0.0
2037,1.6096,1.38673,1.2479,1.3433,1.433,0.0
2038,1.6096,1.38688,1.2492,1.3441,1.4336,0.0
2039,1.6096,1.38699,1.2505,1.3449,1.4342,0.0
2040,1.6096,1.38708,1.2517,1.3457,1.4348,0.0
2041,1.6096,1.38714,1.2528,1.3465,1.4355,0.0
2042,1.6096,1.38718,1.2538,1.3472,1.4362,0.0
2043,1.6096,1.38721,1.2548,1.3479,1.4368,0.0
2044,1.6096,1.38723,1.2557,1.3486,1.4374,0.0
2045,1.6096,1.38725,1.2566,1.3492,1.438,0.0
2046,1.6096,1.38725,1.2574,1.3497,1.4387,0.0
2047,1.6096,1.38726,1.2582,1.3502,1.4393,0.0
2048,1.6096,1.38726,1.2589,1.3505,1.4398,0.0
2049,1.6096,1.38726,1.2597,1.3508,1.4404,0.0
2050,1.6096,1.38726,1.2604,1.3509,1.4409,0.0
2051,0.0,0.0,1.2611,1.351,1.4413,0.0
2052,0.0,0.0,1.2618,1.351,1.4416,0.0
2053,0.0,0.0,1.2625,1.351,1.4418,0.0
2054,0.0,0.0,1.2632,1.3509,1.4419,0.0
2055,0.0,0.0,1.264,1.3508,1.442,0.0
2056,0.0,0.0,0.0,1.3507,1.442,0.0
2057,0.0,0.0,0.0,1.3507,1.4421,0.0
2058,0.0,0.0,0.0,1.3506,1.4421,0.0
2059,0.0,0.0,0.0,1.3507,1.4422,0.0
2060,0.0,0.0,0.0,1.3507,1.4424,0.0
2061,0.0,0.0,0.0,0.0,1.4425,0.0
2062,0.0,0.0,0.0,0.0,1.4427,0.0
2063,0.0,0.0,0.0,0.0,1.4429,0.0
2064,0.0,0.0,0.0,0.0,1.4431,0.0
2065,0.0,0.0,0.0,0.0,1.4433,0.0
