Year,1997,2002,2006,2012,2017,Actual
1995,125570,0,0,0,0,125570
1996,125869,0,0,0,0,125859
1997,126156,0,0,0,0,126157
1998,126420,0,0,0,0,126472
1999,126665,0,0,0,0,126667
2000,126892,126926,0,0,0,126926
2001,127100,127183,0,0,0,127316
2002,127286,127377,0,0,0,127486
2003,127447,127524,0,0,0,127694
2004,127581,127635,0,0,0,127787
2005,127684,127708,127768,0,0,127768
2006,127752,127741,127762,0,0,127901
2007,127782,127733,127694,0,0,128033
2008,127772,127686,127568,0,0,128084
2009,127719,127599,127395,0,0,128032
2010,127623,127473,127176,128057,0,128057
2011,127481,127309,126913,127753,0,127834
2012,127292,127107,126605,127498,0,127593
2013,127056,126865,126254,127247,0,127414
2014,126773,126585,125862,126949,0,127237
2015,126444,126266,125430,126597,127095,127095
2016,126068,125909,124961,126193,126838,127042
2017,125648,125513,124456,125739,126532,126919
2018,125184,125080,123915,125236,126177,126749
2019,124679,124611,123341,124689,125773,126555
2020,124133,124107,122735,124100,125325,126146
2021,123551,123570,122097,123474,124836,125502
2022,122934,123002,121430,122813,124310,0
2023,122287,122406,120735,122122,123751,0
2024,121612,121784,120015,121403,123161,0
2025,120913,121136,119270,120659,122544,0
2026,120193,120466,118502,119891,121903,0
2027,119454,119773,117713,119102,121240,0
2028,118699,119061,116904,118293,120555,0
2029,117930,118329,116074,117465,119850,0
2030,117149,117580,115224,116618,119125,0
2031,116357,116813,114354,115752,118380,0
2032,115557,116032,113464,114870,117616,0
2033,114748,115235,112555,113970,116833,0
2034,113934,114425,111627,113054,116033,0
2035,113114,113602,110679,112124,115216,0
2036,112290,112768,109714,111179,114383,0
2037,111462,111923,108732,110220,113535,0
2038,110632,111068,107733,109250,112674,0
2039,109800,110207,106720,108268,111801,0
2040,108964,109338,105695,107276,110919,0
2041,108125,108465,104658,106275,110028,0
2042,107285,107589,103613,105267,109131,0
2043,106443,106712,102560,104253,108229,0
2044,105601,105835,101503,103233,107326,0
2045,104758,104960,100443,102210,106421,0
