code,Prefecture,price,fertility,Location
1,Hokkaido,100.3,1.29,Regions
2,Aomori,98.1,1.43,Regions
3,Iwate,99.0,1.47,Regions
4,Miyagi,99.3,1.31,Regions
5,Akita,97.9,1.35,Regions
6,Yamagata,100.5,1.45,Regions
7,Fukushima,99.4,1.57,Regions
8,Ibaraki,97.7,1.48,Regions
9,Tochigi,98.3,1.45,Regions
10,Gunma,96.7,1.47,Regions
11,Saitama,100.6,1.36,Tokyo
12,Chiba,101.0,1.34,Tokyo
13,Tokyo,105.2,1.21,Tokyo
14,Kanagawa,103.2,1.34,Tokyo
15,Niigata,98.2,1.41,Regions
16,Toyama,98.7,1.55,Regions
17,Ishikawa,100.2,1.54,Regions
18,Fukui,99.4,1.62,Regions
19,Yamanashi,97.5,1.5,Regions
20,Nagano,97.7,1.56,Regions
21,Gifu,97.4,1.51,Nagoya
22,Shizuoka,98.3,1.52,Regions
23,Aichi,97.6,1.54,Nagoya
24,Mie,98.8,1.49,Nagoya
25,Shiga,99.3,1.54,Regions
26,Kyoto,101.6,1.31,Osaka
27,Osaka,99.8,1.35,Osaka
28,Hyogo,99.6,1.47,Osaka
29,Nara,97.3,1.33,Osaka
30,Wakayama,99.4,1.52,Regions
31,Tottori,98.2,1.66,Regions
32,Shimane,99.5,1.72,Regions
33,Okayama,97.5,1.54,Regions
34,Hiroshima,98.7,1.56,Regions
35,Yamaguchi,99.4,1.57,Regions
36,Tokushima,99.6,1.51,Regions
37,Kagawa,98.2,1.65,Regions
38,Ehime,97.9,1.54,Regions
39,Kochi,99.2,1.56,Regions
40,Fukuoka,97.4,1.51,Regions
41,Saga,98.2,1.64,Regions
42,Nagasaki,99.5,1.7,Regions
43,Kumamoto,98.7,1.67,Regions
44,Oita,97.9,1.62,Regions
45,Miyazaki,95.9,1.73,Regions
46,Kagoshima,97.2,1.69,Regions
47,Okinawa,98.0,1.94,Regions
