Country,categories,2016,2017,2018,2019,2020
AE,Expenditure,33.6958,29.7682,28.1606,28.5017,30.3157
AE,"Expenditure on agriculture, fishing, forestry, & hunting",,0.0,,,0.0
AE,Expenditure on biodiversity & landscape protection,,,,,0.0148
AE,Expenditure on broadcasting & publishing ,,0.0186,,,0.0601
AE,Expenditure on civil defense,,,,,0.0
AE,Expenditure on communication,,0.073,,,0.1216
AE,Expenditure on community development,,0.0,,,0.3108
AE,Expenditure on cultural services,,0.0,,,0.09
AE,Expenditure on defense,0.8225,1.329,1.494,1.5906,1.8147
AE,Expenditure on economic affairs,4.8795,3.906,3.5283,3.9382,3.1145
AE,"Expenditure on economic, commercial, & labour affairs",,0.0891,,,0.2803
AE,Expenditure on education,1.7371,1.6376,1.5107,1.5449,1.6445
AE,Expenditure on education not definable by level,,0.0039,,,0.0109
AE,Expenditure on environment protection,0.7091,0.5778,0.5079,0.3724,0.4544
AE,Expenditure on family & children,,0.0029,,,0.0124
AE,Expenditure on fire protection services,,,,,0.0361
AE,Expenditure on foreign military aid,,,,,0.0
AE,Expenditure on fuel & energy,,0.4696,,,0.813
AE,Expenditure on general public services,14.2951,11.998,11.0544,10.6398,13.5003
AE,Expenditure on health,2.8117,2.3882,1.5888,1.5941,3.38
AE,Expenditure on hospital services,,,,,0.2784
AE,Expenditure on housing,,0.0542,,,0.0285
AE,Expenditure on housing & community amenities,2.2821,2.0553,1.3537,1.7525,1.2501
AE,Expenditure on housing development,,0.3271,,,0.0253
AE,Expenditure on law courts,,,,,0.0661
AE,"Expenditure on medical products, appliances, & equip",,,,,0.0
AE,Expenditure on military defense,,,,,1.8147
AE,"Expenditure on mining, manufacturing, & construction",,0.0,,,0.0289
AE,Expenditure on old age,,0.0,,,0.6272
AE,Expenditure on outpatient services,,,,,0.0288
AE,Expenditure on police services,,,,,0.8983
AE,Expenditure on pollution abatement,,,,,0.0
AE,Expenditure on post-secondary non-tertiary education,,0.0,,,0.0082
AE,Expenditure on pre-primary & primary education,,0.4642,,,0.0088
AE,Expenditure on prisons,,,,,0.0
AE,Expenditure on public health services,,,,,0.0047
AE,Expenditure on public order & safety,3.6068,3.9678,4.2107,4.0317,3.2034
AE,"Expenditure on recreation, culture, & religion",0.618,0.6611,0.6629,0.724,0.599
AE,Expenditure on recreational & sporting services,,0.0313,,,0.0973
AE,Expenditure on religious & community services,,0.0325,,,0.2316
AE,Expenditure on secondary education,,0.0,,,0.0
AE,Expenditure on sickness  & disability,,0.0,,,0.0
AE,Expenditure on social protection,1.9337,1.2474,2.2491,2.3136,1.3547
AE,Expenditure on street lighting,,0.0,,,0.0
AE,Expenditure on subsidiary services to education,,0.0026,,,0.0064
AE,Expenditure on survivors,,0.0,,,0.0
AE,Expenditure on tertiary education,,0.228,,,0.2747
AE,Expenditure on transport,,0.0179,,,1.2943
AE,Expenditure on unemployment,,0.0,,,0.0
AE,Expenditure on waste management,,,,,0.0976
AE,Expenditure on waste water management,,,,,0.0
AE,Expenditure on water supply,,0.0,,,0.0
AF,Expenditure,47.8652,44.9164,,,
AF,"Expenditure on agriculture, fishing, forestry, & hunting",1.6052,1.4243,,,
AF,Expenditure on biodiversity & landscape protection,0.0094,0.0913,,,
AF,Expenditure on broadcasting & publishing ,0.0815,0.0661,,,
AF,Expenditure on civil defense,0.1389,0.0429,,,
AF,Expenditure on communication,0.2012,0.2447,,,
AF,Expenditure on community development,0.1444,0.2835,,,
AF,Expenditure on cultural services,0.0911,0.0901,,,
AF,Expenditure on defense,17.8554,16.3113,,,
AF,Expenditure on economic affairs,7.6258,8.5931,,,
AF,"Expenditure on economic, commercial, & labour affairs",0.9601,2.0477,,,
AF,Expenditure on education,3.9538,3.6843,,,
AF,Expenditure on education not definable by level,0.2587,0.2024,,,
AF,Expenditure on environment protection,0.1292,0.1726,,,
AF,Expenditure on family & children,0.2001,0.113,,,
AF,Expenditure on fire protection services,0.0589,0.0558,,,
AF,Expenditure on foreign military aid,0.0,0.0,,,
AF,Expenditure on fuel & energy,1.1996,1.6148,,,
AF,Expenditure on general public services,3.2504,2.6079,,,
AF,Expenditure on health,1.8799,2.0053,,,
AF,Expenditure on hospital services,0.1578,0.2427,,,
AF,Expenditure on housing,0.0,0.0,,,
AF,Expenditure on housing & community amenities,1.311,0.6043,,,
AF,Expenditure on housing development,0.9874,0.1829,,,
AF,Expenditure on law courts,0.5765,0.607,,,
AF,"Expenditure on medical products, appliances, & equip",0.0374,0.0765,,,
AF,Expenditure on military defense,16.5757,14.9717,,,
AF,"Expenditure on mining, manufacturing, & construction",0.1962,0.1551,,,
AF,Expenditure on old age,0.4528,0.3935,,,
AF,Expenditure on outpatient services,0.8913,0.934,,,
AF,Expenditure on police services,8.3012,7.9054,,,
AF,Expenditure on pollution abatement,0.0004,0.0183,,,
AF,Expenditure on post-secondary non-tertiary education,0.1047,0.0761,,,
AF,Expenditure on pre-primary & primary education,2.6874,1.5696,,,
AF,Expenditure on prisons,0.0021,0.2091,,,
AF,Expenditure on public health services,0.4225,0.2612,,,
AF,Expenditure on public order & safety,8.9597,8.7954,,,
AF,"Expenditure on recreation, culture, & religion",0.2858,0.2977,,,
AF,Expenditure on recreational & sporting services,0.0263,0.0277,,,
AF,Expenditure on religious & community services,0.0843,0.1139,,,
AF,Expenditure on secondary education,0.0178,0.0081,,,
AF,Expenditure on sickness  & disability,0.0,0.0,,,
AF,Expenditure on social protection,2.6143,1.8445,,,
AF,Expenditure on street lighting,0.0,0.0,,,
AF,Expenditure on subsidiary services to education,0.1264,0.1314,,,
AF,Expenditure on survivors,1.1091,0.0,,,
AF,Expenditure on tertiary education,0.7394,0.6887,,,
AF,Expenditure on transport,2.4068,1.9707,,,
AF,Expenditure on unemployment,0.0,0.0,,,
AF,Expenditure on waste management,0.1102,0.0534,,,
AF,Expenditure on waste water management,0.0018,0.0,,,
AF,Expenditure on water supply,0.1325,0.0688,,,
AL,Expenditure,28.8959,29.2325,28.7575,29.0871,33.2295
AL,"Expenditure on agriculture, fishing, forestry, & hunting",0.852,0.646,0.6315,0.5166,0.7458
AL,Expenditure on biodiversity & landscape protection,0.0017,0.0016,0.0009,0.0008,0.0008
AL,Expenditure on broadcasting & publishing ,0.1188,0.1097,0.0997,0.1004,0.1047
AL,Expenditure on civil defense,0.0,0.0,0.0,0.0,0.0
AL,Expenditure on communication,0.0,0.0,0.0,0.0,0.0
AL,Expenditure on community development,0.8338,1.5374,1.7349,1.4869,2.036
AL,Expenditure on cultural services,0.1825,0.1897,0.2135,0.2081,0.2177
AL,Expenditure on defense,0.7021,0.7061,0.6792,0.7942,0.7842
AL,Expenditure on economic affairs,3.0278,3.4841,2.8163,2.8256,3.6492
AL,"Expenditure on economic, commercial, & labour affairs",0.0743,0.0573,0.0647,0.0581,0.0647
AL,Expenditure on education,3.1294,3.0899,3.1549,3.316,3.3676
AL,Expenditure on education not definable by level,0.0,0.0,0.0,0.0,0.0
AL,Expenditure on environment protection,0.1853,0.1842,0.0865,0.1861,0.3295
AL,Expenditure on family & children,1.4542,1.4053,1.3387,1.4326,1.7787
AL,Expenditure on fire protection services,0.0,0.0,0.0,0.0678,0.1779
AL,Expenditure on foreign military aid,0.0,0.0,0.0,0.0,0.0
AL,Expenditure on fuel & energy,0.0328,0.1942,0.0058,0.1212,0.0157
AL,Expenditure on general public services,5.6758,5.1452,5.2498,4.9952,5.1829
AL,Expenditure on health,2.8396,2.9247,2.9959,3.0479,3.2084
AL,Expenditure on hospital services,1.3,1.272,1.2933,1.3351,1.4657
AL,Expenditure on housing,0.0,0.0,0.0028,0.0027,0.0089
AL,Expenditure on housing & community amenities,1.7205,2.2684,2.3391,2.1803,3.2162
AL,Expenditure on housing development,0.1963,0.1352,0.0999,0.0975,0.3992
AL,Expenditure on law courts,0.1709,0.1673,0.1748,0.21,0.2268
AL,"Expenditure on medical products, appliances, & equip",0.0,0.0,0.0,0.0,0.0
AL,Expenditure on military defense,0.7021,0.7061,0.6792,0.7942,0.7842
AL,"Expenditure on mining, manufacturing, & construction",0.0482,0.0445,0.0453,0.0359,0.0386
AL,Expenditure on old age,7.7609,7.6798,7.6653,7.8175,8.345
AL,Expenditure on outpatient services,1.3533,1.4714,1.5144,1.5427,1.5473
AL,Expenditure on police services,1.1047,1.1272,1.1284,1.1202,1.1533
AL,Expenditure on pollution abatement,0.1771,0.1668,0.0511,0.0672,0.0758
AL,Expenditure on post-secondary non-tertiary education,0.0,0.0,0.0,0.0,0.0
AL,Expenditure on pre-primary & primary education,1.7684,1.7529,1.7975,1.845,1.8727
AL,Expenditure on prisons,0.3592,0.3337,0.3515,0.348,0.3475
AL,Expenditure on public health services,0.1863,0.1813,0.1882,0.1701,0.1954
AL,Expenditure on public order & safety,1.7282,1.7238,1.744,1.8406,2.011
AL,"Expenditure on recreation, culture, & religion",0.4316,0.4153,0.4513,0.4353,0.4255
AL,Expenditure on recreational & sporting services,0.112,0.0757,0.1123,0.1016,0.0799
AL,Expenditure on religious & community services,0.0083,0.008,0.0075,0.0074,0.0076
AL,Expenditure on secondary education,0.6682,0.6558,0.6824,0.7241,0.7305
AL,Expenditure on sickness  & disability,0.0316,0.0383,0.033,0.0306,0.0146
AL,Expenditure on social protection,9.4555,9.2907,9.2405,9.4658,11.055
AL,Expenditure on street lighting,0.0,0.0,0.0051,0.0387,0.0612
AL,Expenditure on subsidiary services to education,0.0,0.0,0.0003,0.0,0.0
AL,Expenditure on survivors,0.0,0.0,0.0,0.0,0.0
AL,Expenditure on tertiary education,0.6648,0.6512,0.6426,0.7072,0.7147
AL,Expenditure on transport,1.9819,2.4141,2.0238,2.0204,2.306
AL,Expenditure on unemployment,0.1227,0.0958,0.0752,0.0918,0.8535
AL,Expenditure on waste management,0.0,0.0,0.024,0.1015,0.2357
AL,Expenditure on waste water management,0.0,0.0,0.0003,0.0084,0.0079
AL,Expenditure on water supply,0.6904,0.5958,0.4992,0.5572,0.7198
AM,Expenditure,30.3306,27.5613,25.0971,25.6054,31.1269
AM,"Expenditure on agriculture, fishing, forestry, & hunting",,0.7777,0.4683,0.5148,0.5487
AM,Expenditure on biodiversity & landscape protection,,0.0598,0.0739,0.0537,0.0204
AM,Expenditure on broadcasting & publishing ,,0.1565,0.1434,0.1697,0.1554
AM,Expenditure on civil defense,,0.0002,0.0,0.0005,0.0008
AM,Expenditure on communication,,0.0062,0.0051,0.0039,0.0043
AM,Expenditure on community development,,0.0063,0.0847,0.0085,0.0042
AM,Expenditure on cultural services,,0.4163,0.3719,0.3461,0.3442
AM,Expenditure on defense,,5.2922,3.9639,4.8053,6.2723
AM,Expenditure on economic affairs,,2.1316,2.1741,1.9162,2.3172
AM,"Expenditure on economic, commercial, & labour affairs",,0.0732,0.0716,0.0604,0.2758
AM,Expenditure on education,,2.4505,2.2559,2.5618,2.9796
AM,Expenditure on education not definable by level,,0.2534,0.2318,0.2123,0.1088
AM,Expenditure on environment protection,,0.3267,0.3806,0.3377,0.3426
AM,Expenditure on family & children,,1.1489,1.0046,0.8943,1.1035
AM,Expenditure on fire protection services,,0.1543,0.1444,0.1795,0.1988
AM,Expenditure on foreign military aid,,0.0029,0.0019,0.0113,0.0119
AM,Expenditure on fuel & energy,,0.1887,0.2789,0.099,0.0238
AM,Expenditure on general public services,,5.2356,5.0253,4.5294,4.9504
AM,Expenditure on health,,1.5229,1.366,1.5234,2.3797
AM,Expenditure on hospital services,,0.7164,0.6634,0.7878,0.9091
AM,Expenditure on housing,,0.0281,0.0093,0.0542,0.0324
AM,Expenditure on housing & community amenities,,0.3855,0.3611,0.45,0.362
AM,Expenditure on housing development,,0.0805,0.0187,0.1171,0.0785
AM,Expenditure on law courts,,0.2131,0.2014,0.2278,0.2378
AM,"Expenditure on medical products, appliances, & equip",,0.0648,0.0563,0.0621,0.0802
AM,Expenditure on military defense,,5.1476,3.8052,4.6233,6.2074
AM,"Expenditure on mining, manufacturing, & construction",,0.0007,0.0008,0.0005,0.0004
AM,Expenditure on old age,,5.329,5.1624,4.9322,5.8036
AM,Expenditure on outpatient services,,0.4856,0.4495,0.5087,0.5948
AM,Expenditure on police services,,1.0747,1.0022,0.9603,1.0069
AM,Expenditure on pollution abatement,,0.0015,0.009,0.0041,0.0083
AM,Expenditure on post-secondary non-tertiary education,,0.1917,0.1752,0.1558,0.1861
AM,Expenditure on pre-primary & primary education,,0.9772,0.9001,0.8427,0.9255
AM,Expenditure on prisons,,0.148,0.1337,0.1578,0.1905
AM,Expenditure on public health services,,0.0937,0.0628,0.0716,0.6094
AM,Expenditure on public order & safety,,2.2026,2.0463,2.187,2.4494
AM,"Expenditure on recreation, culture, & religion",,0.6658,0.605,0.6239,0.5866
AM,Expenditure on recreational & sporting services,,0.0534,0.05,0.0622,0.0558
AM,Expenditure on religious & community services,,0.0214,0.0194,0.0249,0.0274
AM,Expenditure on secondary education,,1.1562,1.0489,1.0113,1.1475
AM,Expenditure on sickness  & disability,,0.0213,0.0164,0.0174,0.0195
AM,Expenditure on social protection,,7.3479,6.9189,6.6708,8.487
AM,Expenditure on street lighting,,0.1158,0.1115,0.1341,0.1232
AM,Expenditure on subsidiary services to education,,0.2193,0.2096,0.2296,0.3371
AM,Expenditure on survivors,,0.092,0.077,0.0714,0.0971
AM,Expenditure on tertiary education,,0.3226,0.2647,0.2178,0.242
AM,Expenditure on transport,,1.0847,1.3681,1.2795,1.6093
AM,Expenditure on unemployment,,0.0095,0.0074,0.0275,0.0321
AM,Expenditure on waste management,,0.1806,0.2486,0.201,0.199
AM,Expenditure on waste water management,,0.0013,0.002,0.0024,0.0049
AM,Expenditure on water supply,,0.113,0.0793,0.1243,0.0735
AT,Expenditure,50.0118,49.2526,48.6895,48.5134,57.0877
AT,"Expenditure on agriculture, fishing, forestry, & hunting",0.3466,0.3451,0.3432,0.3324,0.3917
AT,Expenditure on biodiversity & landscape protection,0.0229,0.0202,0.0207,0.0209,0.0214
AT,Expenditure on broadcasting & publishing ,0.3176,0.3056,0.2869,0.2755,0.2866
AT,Expenditure on civil defense,0.0008,0.001,0.0008,0.0009,0.0011
AT,Expenditure on communication,0.052,0.0532,0.0654,0.0508,0.053
AT,Expenditure on community development,0.0381,0.0394,0.0417,0.0403,0.0434
AT,Expenditure on cultural services,0.537,0.5345,0.5217,0.5327,0.5285
AT,Expenditure on defense,0.5934,0.5935,0.5813,0.6013,0.6198
AT,Expenditure on economic affairs,5.6932,5.8522,5.8522,5.805,9.8134
AT,"Expenditure on economic, commercial, & labour affairs",1.4102,1.535,1.4776,1.5117,4.9901
AT,Expenditure on education,4.8905,4.8364,4.7774,4.7841,5.0748
AT,Expenditure on education not definable by level,0.2327,0.2156,0.2112,0.2222,0.2512
AT,Expenditure on environment protection,0.3771,0.3585,0.3727,0.3933,0.3934
AT,Expenditure on family & children,2.2677,2.1644,2.1116,2.0245,2.3952
AT,Expenditure on fire protection services,0.1696,0.1685,0.1699,0.1628,0.1747
AT,Expenditure on foreign military aid,0.0,0.0,0.0,0.0,0.0
AT,Expenditure on fuel & energy,0.0197,0.0256,0.018,0.0154,0.0173
