Country,categories,2016,2017,2018,2019,2020
AF,Revenue,48.442,45.2478,,,
AF,Tax revenue,8.8465,9.2477,,,
AF,"Taxes on income, profits, & capital gains",1.9144,2.0393,,,
AF,Customs & other import duties,2.3244,3.2517,,,
AF,Taxes on payroll & workforce,0.0,0.0,,,
AF,Taxes on property,0.001,0.0009,,,
AF,Taxes on goods & services,3.3937,3.8612,,,
AF,Taxes on int trade & transactions,3.0689,3.3332,,,
AF,Social contributions,0.311,0.2699,,,
AF,Grants revenue,36.3337,32.7386,,,
AF,Grants revenue from foreign govts,31.5008,28.0884,,,
AF,Grants revenue from int orgs,4.8328,4.6502,,,
AF,Grants revenue from other gen govt,0.0,0.0,,,
AF,Other revenue,2.9509,2.9916,,,
LV,Revenue,37.1577,37.5243,38.1205,37.433,38.4623
LV,Tax revenue,22.3345,22.5141,21.6887,21.113,21.4485
LV,"Taxes on income, profits, & capital gains",7.9314,8.1762,7.0314,6.6595,6.8205
LV,Customs & other import duties,-0.0167,0.0125,0.0157,0.0084,-0.0015
LV,Taxes on payroll & workforce,0.0119,0.0114,0.0107,0.0106,0.0107
LV,Taxes on property,0.91,0.8871,0.8118,0.7958,0.8078
LV,Taxes on goods & services,13.4979,13.427,13.8192,13.6387,13.811
LV,Taxes on int trade & transactions,-0.0167,0.0125,0.0157,0.0084,-0.0015
LV,Social contributions,8.4926,8.7388,9.4936,10.0596,10.5294
LV,Grants revenue,1.0156,1.4124,1.9824,2.0582,1.7938
LV,Grants revenue from foreign govts,0.0425,0.0229,0.0472,0.1498,0.1279
LV,Grants revenue from int orgs,0.9731,1.3895,1.9353,1.9084,1.6659
LV,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
LV,Other revenue,5.315,4.859,4.9557,4.2021,4.6906
LT,Revenue,34.1338,33.2883,34.2472,34.9334,35.7351
LT,Tax revenue,17.3043,16.9997,17.142,20.3744,20.573
LT,"Taxes on income, profits, & capital gains",5.5929,5.3533,5.5798,8.7863,8.7807
LT,Customs & other import duties,0.0,0.0,0.0,0.0,0.0
LT,Taxes on payroll & workforce,0.0432,0.0,0.0,0.0,0.0
LT,Taxes on property,0.3275,0.3051,0.301,0.2979,0.3007
LT,Taxes on goods & services,11.3266,11.3282,11.2492,11.2772,11.4801
LT,Taxes on int trade & transactions,0.0,0.0,0.0,0.0,0.0
LT,Social contributions,12.4559,12.5395,13.0214,10.0442,10.8271
LT,Grants revenue,1.2058,1.026,1.3378,1.7194,1.649
LT,Grants revenue from foreign govts,0.0926,0.0331,0.0015,0.0037,0.0231
LT,Grants revenue from int orgs,1.1132,0.9929,1.3362,1.7157,1.6259
LT,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
LT,Other revenue,3.1678,2.7231,2.746,2.7954,2.6861
LU,Revenue,42.3828,43.0449,44.7272,43.9916,43.0707
LU,Tax revenue,25.7787,26.6354,28.4656,27.9176,26.8919
LU,"Taxes on income, profits, & capital gains",13.5658,14.0066,15.6386,15.237,14.6074
LU,Customs & other import duties,0.0,0.0,0.0,0.0,0.0
LU,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
LU,Taxes on property,1.1524,1.1794,1.3508,1.4542,1.4091
LU,Taxes on goods & services,10.9614,11.3484,11.3827,11.1353,10.7843
LU,Taxes on int trade & transactions,0.0,0.0,0.0,0.0,0.0
LU,Social contributions,11.8098,12.1759,12.1543,12.1202,12.6353
LU,Grants revenue,,,,,
LU,Grants revenue from foreign govts,,,,,
LU,Grants revenue from int orgs,,,,,
LU,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
LU,Other revenue,,,,,
AT,Revenue,48.4772,48.4364,48.8596,49.1233,48.7696
AT,Tax revenue,27.139,27.1496,27.4277,27.5893,26.3583
AT,"Taxes on income, profits, & capital gains",12.0065,12.1713,12.7199,12.8709,11.8576
AT,Customs & other import duties,0.0,0.0,0.0,0.0,0.0
AT,Taxes on payroll & workforce,2.6279,2.4846,2.4109,2.4192,2.4556
AT,Taxes on property,0.231,0.2254,0.231,0.2114,0.2308
AT,Taxes on goods & services,12.2025,12.1932,11.9934,12.0177,11.763
AT,Taxes on int trade & transactions,0.0,0.0,0.0,0.0,0.0
AT,Social contributions,15.1041,15.1735,15.2452,15.3721,16.0668
AT,Grants revenue,0.0732,0.0603,0.111,0.1194,0.086
AT,Grants revenue from foreign govts,0.0112,0.01,0.0346,0.0476,0.0129
AT,Grants revenue from int orgs,0.062,0.0503,0.0763,0.0718,0.0731
AT,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
AT,Other revenue,6.161,6.0531,6.0757,6.0424,6.2585
MT,Revenue,37.0164,37.2134,37.1447,36.0022,35.8202
MT,Tax revenue,25.1685,25.0058,24.9889,24.6737,23.8184
MT,"Taxes on income, profits, & capital gains",12.5997,12.6707,12.2723,12.5565,12.4725
MT,Customs & other import duties,0.0,0.0,0.0,0.0,0.0
MT,Taxes on payroll & workforce,0.0,0.0,0.0,0.0,0.0
MT,Taxes on property,0.1509,0.1615,0.1595,0.1859,0.1733
MT,Taxes on goods & services,12.4172,12.1727,12.5566,11.9302,11.1727
MT,Taxes on int trade & transactions,0.0,0.0,0.0,0.0,0.0
MT,Social contributions,6.05,5.8775,5.8921,5.6955,6.4425
MT,Grants revenue,,,,,
MT,Grants revenue from foreign govts,,,,,
MT,Grants revenue from int orgs,0.4143,0.5424,0.9944,0.9216,1.106
MT,Grants revenue from other gen govt,0.0,0.0,0.0,0.0,0.0
MT,Other revenue,,,,,
MH,Revenue,80.4443,89.1601,82.6452,,
MH,Tax revenue,17.3894,17.7738,17.7918,,
MH,"Taxes on income, profits, & capital gains",6.8492,6.9757,6.7991,,
MH,Customs & other import duties,4.0491,3.9951,3.7867,,
MH,Taxes on payroll & workforce,0.2106,0.266,0.2636,,
MH,Taxes on property,0.3183,0.322,0.32,,
MH,Taxes on goods & services,5.9108,6.1554,6.5634,,
MH,Taxes on int trade & transactions,4.0491,3.9951,3.7867,,
MH,Social contributions,10.8184,12.2309,12.4263,,
MH,Grants revenue,32.9712,33.5924,33.0798,,
MH,Grants revenue from foreign govts,32.9258,33.4316,33.0493,,
MH,Grants revenue from int orgs,0.0453,0.1608,0.0305,,
MH,Grants revenue from other gen govt,0.0,0.0,0.0,,
MH,Other revenue,19.2653,25.563,19.3473,,
MU,Revenue,22.2262,23.1694,23.4919,23.5661,26.5739
MU,Tax revenue,18.1961,18.616,19.1919,20.0084,21.7084
MU,"Taxes on income, profits, & capital gains",4.4106,4.7635,4.8459,5.4242,6.3247
MU,Customs & other import duties,0.3098,0.2574,0.2793,0.2768,0.2831
MU,Taxes on payroll & workforce,0.1362,0.1396,0.114,0.1559,0.1856
MU,Taxes on property,0.1057,0.0753,0.077,0.103,0.0852
MU,Taxes on goods & services,12.8401,13.0231,13.5682,13.7252,14.4739
MU,Taxes on int trade & transactions,0.3098,0.2574,0.2793,0.2768,0.2831
MU,Social contributions,0.9322,0.9529,1.0062,1.1155,1.333
MU,Grants revenue,0.0735,0.6386,0.5475,0.401,1.0207
MU,Grants revenue from foreign govts,0.028,0.4188,0.4672,0.3171,0.9636
MU,Grants revenue from int orgs,0.0513,0.2198,0.0804,0.0839,0.0572
MU,Grants revenue from other gen govt,-0.0058,0.0,0.0,-0.0,0.0
MU,Other revenue,3.0245,2.9619,2.7463,2.0412,2.5117
MX,Revenue,21.82,22.014,20.8159,20.96,22.1889
MX,Tax revenue,14.4483,13.9482,13.9811,14.0856,15.4395
MX,"Taxes on income, profits, & capital gains",7.0732,7.148,7.1069,6.9289,7.6486
