Name,categories,Country,2016,2017,2018,2019,2020
Afghanistan,Expenditure,AF,47.8652,44.9164,,,
Afghanistan,"Expenditure on agriculture, fishing, forestry, & hunting",AF,1.6052,1.4243,,,
Afghanistan,Expenditure on biodiversity & landscape protection,AF,0.0094,0.0913,,,
Afghanistan,Expenditure on broadcasting & publishing ,AF,0.0815,0.0661,,,
Afghanistan,Expenditure on civil defense,AF,0.1389,0.0429,,,
Afghanistan,Expenditure on communication,AF,0.2012,0.2447,,,
Afghanistan,Expenditure on community development,AF,0.1444,0.2835,,,
Afghanistan,Expenditure on cultural services,AF,0.0911,0.0901,,,
Afghanistan,Expenditure on defense,AF,17.8554,16.3113,,,
Afghanistan,Expenditure on economic affairs,AF,7.6258,8.5931,,,
Afghanistan,"Expenditure on economic, commercial, & labour affairs",AF,0.9601,2.0477,,,
Afghanistan,Expenditure on education,AF,3.9538,3.6843,,,
Afghanistan,Expenditure on education not definable by level,AF,0.2587,0.2024,,,
Afghanistan,Expenditure on environment protection,AF,0.1292,0.1726,,,
Afghanistan,Expenditure on family & children,AF,0.2001,0.113,,,
Afghanistan,Expenditure on fire protection services,AF,0.0589,0.0558,,,
Afghanistan,Expenditure on foreign military aid,AF,0.0,0.0,,,
Afghanistan,Expenditure on fuel & energy,AF,1.1996,1.6148,,,
Afghanistan,Expenditure on general public services,AF,3.2504,2.6079,,,
Afghanistan,Expenditure on health,AF,1.8799,2.0053,,,
Afghanistan,Expenditure on hospital services,AF,0.1578,0.2427,,,
Afghanistan,Expenditure on housing,AF,0.0,0.0,,,
Afghanistan,Expenditure on housing & community amenities,AF,1.311,0.6043,,,
Afghanistan,Expenditure on housing development,AF,0.9874,0.1829,,,
Afghanistan,Expenditure on law courts,AF,0.5765,0.607,,,
Afghanistan,"Expenditure on medical products, appliances, & equip",AF,0.0374,0.0765,,,
Afghanistan,Expenditure on military defense,AF,16.5757,14.9717,,,
Afghanistan,"Expenditure on mining, manufacturing, & construction",AF,0.1962,0.1551,,,
Afghanistan,Expenditure on old age,AF,0.4528,0.3935,,,
Afghanistan,Expenditure on outpatient services,AF,0.8913,0.934,,,
Afghanistan,Expenditure on police services,AF,8.3012,7.9054,,,
Afghanistan,Expenditure on pollution abatement,AF,0.0004,0.0183,,,
Afghanistan,Expenditure on post-secondary non-tertiary education,AF,0.1047,0.0761,,,
Afghanistan,Expenditure on pre-primary & primary education,AF,2.6874,1.5696,,,
Afghanistan,Expenditure on prisons,AF,0.0021,0.2091,,,
Afghanistan,Expenditure on public health services,AF,0.4225,0.2612,,,
Afghanistan,Expenditure on public order & safety,AF,8.9597,8.7954,,,
Afghanistan,"Expenditure on recreation, culture, & religion",AF,0.2858,0.2977,,,
Afghanistan,Expenditure on recreational & sporting services,AF,0.0263,0.0277,,,
Afghanistan,Expenditure on religious & community services,AF,0.0843,0.1139,,,
Afghanistan,Expenditure on secondary education,AF,0.0178,0.0081,,,
Afghanistan,Expenditure on sickness  & disability,AF,0.0,0.0,,,
Afghanistan,Expenditure on social protection,AF,2.6143,1.8445,,,
Afghanistan,Expenditure on street lighting,AF,0.0,0.0,,,
Afghanistan,Expenditure on subsidiary services to education,AF,0.1264,0.1314,,,
Afghanistan,Expenditure on survivors,AF,1.1091,0.0,,,
Afghanistan,Expenditure on tertiary education,AF,0.7394,0.6887,,,
Afghanistan,Expenditure on transport,AF,2.4068,1.9707,,,
Afghanistan,Expenditure on unemployment,AF,0.0,0.0,,,
Afghanistan,Expenditure on waste management,AF,0.1102,0.0534,,,
Afghanistan,Expenditure on waste water management,AF,0.0018,0.0,,,
Afghanistan,Expenditure on water supply,AF,0.1325,0.0688,,,
Albania,Expenditure,AL,28.8959,29.2325,28.7575,29.0871,33.2295
Albania,"Expenditure on agriculture, fishing, forestry, & hunting",AL,0.852,0.646,0.6315,0.5166,0.7458
Albania,Expenditure on biodiversity & landscape protection,AL,0.0017,0.0016,0.0009,0.0008,0.0008
Albania,Expenditure on broadcasting & publishing ,AL,0.1188,0.1097,0.0997,0.1004,0.1047
Albania,Expenditure on civil defense,AL,0.0,0.0,0.0,0.0,0.0
Albania,Expenditure on communication,AL,0.0,0.0,0.0,0.0,0.0
Albania,Expenditure on community development,AL,0.8338,1.5374,1.7349,1.4869,2.036
Albania,Expenditure on cultural services,AL,0.1825,0.1897,0.2135,0.2081,0.2177
Albania,Expenditure on defense,AL,0.7021,0.7061,0.6792,0.7942,0.7842
Albania,Expenditure on economic affairs,AL,3.0278,3.4841,2.8163,2.8256,3.6492
Albania,"Expenditure on economic, commercial, & labour affairs",AL,0.0743,0.0573,0.0647,0.0581,0.0647
Albania,Expenditure on education,AL,3.1294,3.0899,3.1549,3.316,3.3676
Albania,Expenditure on education not definable by level,AL,0.0,0.0,0.0,0.0,0.0
Albania,Expenditure on environment protection,AL,0.1853,0.1842,0.0865,0.1861,0.3295
Albania,Expenditure on family & children,AL,1.4542,1.4053,1.3387,1.4326,1.7787
Albania,Expenditure on fire protection services,AL,0.0,0.0,0.0,0.0678,0.1779
Albania,Expenditure on foreign military aid,AL,0.0,0.0,0.0,0.0,0.0
Albania,Expenditure on fuel & energy,AL,0.0328,0.1942,0.0058,0.1212,0.0157
Albania,Expenditure on general public services,AL,5.6758,5.1452,5.2498,4.9952,5.1829
Albania,Expenditure on health,AL,2.8396,2.9247,2.9959,3.0479,3.2084
Albania,Expenditure on hospital services,AL,1.3,1.272,1.2933,1.3351,1.4657
Albania,Expenditure on housing,AL,0.0,0.0,0.0028,0.0027,0.0089
Albania,Expenditure on housing & community amenities,AL,1.7205,2.2684,2.3391,2.1803,3.2162
