Name,categories,Country,2016,2017,2018,2019,2020
Afghanistan,Customs & other import duties,AF,2.3244,3.2517,,,
Afghanistan,Grants revenue,AF,36.3337,32.7386,,,
Afghanistan,Grants revenue from foreign govts,AF,31.5008,28.0884,,,
Afghanistan,Grants revenue from int orgs,AF,4.8328,4.6502,,,
Afghanistan,Grants revenue from other gen govt,AF,0.0,0.0,,,
Afghanistan,Other revenue,AF,2.9509,2.9916,,,
Afghanistan,Revenue,AF,48.442,45.2478,,,
Afghanistan,Social contributions,AF,0.311,0.2699,,,
Afghanistan,Tax revenue,AF,8.8465,9.2477,,,
Afghanistan,Taxes on goods & services,AF,3.3937,3.8612,,,
Afghanistan,"Taxes on income, profits, & capital gains",AF,1.9144,2.0393,,,
Afghanistan,Taxes on int trade & transactions,AF,3.0689,3.3332,,,
Afghanistan,Taxes on payroll & workforce,AF,0.0,0.0,,,
Afghanistan,Taxes on property,AF,0.001,0.0009,,,
Albania,Customs & other import duties,AL,0.4167,0.4186,0.3801,0.386,0.3881
Albania,Grants revenue,AL,1.0292,0.7383,0.5249,0.5526,0.5668
Albania,Grants revenue from foreign govts,AL,0.0836,0.0174,0.0121,0.0172,0.0113
Albania,Grants revenue from int orgs,AL,0.9456,0.7209,0.5128,0.5354,0.5554
Albania,Grants revenue from other gen govt,AL,0.0,0.0,0.0,-0.0,0.0
Albania,Other revenue,AL,1.8878,1.7706,1.8063,1.7254,1.4599
Albania,Revenue,AL,26.4543,27.7899,27.4959,27.4084,26.4761
Albania,Social contributions,AL,5.2037,5.4907,5.5632,5.7429,5.9503
Albania,Tax revenue,AL,18.3336,19.7904,19.6015,19.3876,18.4991
Albania,Taxes on goods & services,AL,14.5307,14.666,14.4909,13.8484,13.671
Albania,"Taxes on income, profits, & capital gains",AL,2.9464,4.1305,4.3591,4.7764,3.8595
Albania,Taxes on int trade & transactions,AL,0.4195,0.4201,0.3822,0.3884,0.3909
Albania,Taxes on payroll & workforce,AL,0.0,0.0,0.0,0.0,0.0
Albania,Taxes on property,AL,0.4167,0.5561,0.3369,0.3435,0.5491
Armenia,Customs & other import duties,AM,1.0939,1.3041,1.3335,1.4484,1.104
Armenia,Grants revenue,AM,0.6349,-0.2287,-0.1775,0.2208,0.892
Armenia,Grants revenue from foreign govts,AM,0.4233,0.1228,0.0665,0.1016,0.7904
Armenia,Grants revenue from int orgs,AM,0.2728,0.1932,0.1768,0.1207,0.1036
Armenia,Grants revenue from other gen govt,AM,-0.0612,-0.5447,-0.4207,-0.0015,-0.002
Armenia,Other revenue,AM,2.5184,2.5092,2.2723,2.3592,2.9914
Armenia,Revenue,AM,24.9148,23.5414,23.4014,25.2504,26.2134
Armenia,Social contributions,AM,0.0,0.0,0.0,0.0,0.0
Armenia,Tax revenue,AM,21.7615,21.2609,21.3066,22.6703,22.3301
Armenia,Taxes on goods & services,AM,8.8969,8.7863,9.0939,11.5891,11.7142
Armenia,"Taxes on income, profits, & capital gains",AM,9.3768,8.4388,9.1077,9.0001,9.0569
Armenia,Taxes on int trade & transactions,AM,1.0939,1.3041,1.3335,1.4484,1.104
Armenia,Taxes on payroll & workforce,AM,0.0,0.0,0.0,0.0,0.0
Armenia,Taxes on property,AM,0.471,0.4672,0.423,0.3928,0.401
Australia,Customs & other import duties,AU,0.8252,0.7858,0.8259,0.7968,0.9908
Australia,Grants revenue,AU,0.0,0.0,0.0,0.0,0.0
Australia,Grants revenue from foreign govts,AU,0.0,0.0,0.0,0.0,0.0
Australia,Grants revenue from int orgs,AU,0.0,0.0,0.0,0.0,0.0
Australia,Grants revenue from other gen govt,AU,0.0,0.0,0.0,0.0,0.0
Australia,Other revenue,AU,6.7032,6.8016,6.7634,6.8127,6.7653
Australia,Revenue,AU,33.9385,33.746,34.5945,34.7978,34.8019
Australia,Social contributions,AU,0.0,0.0,0.0,0.0,0.0
Australia,Tax revenue,AU,27.2353,26.9444,27.8311,27.9851,28.0367
Australia,Taxes on goods & services,AU,7.9453,7.7338,7.666,7.332,7.3683
Australia,"Taxes on income, profits, & capital gains",AU,15.5744,15.5625,16.4479,16.9244,16.6886
Australia,Taxes on int trade & transactions,AU,0.8258,0.7865,0.8259,0.7968,0.9908
Australia,Taxes on payroll & workforce,AU,1.3271,1.2733,1.2991,1.3011,1.2751
Australia,Taxes on property,AU,1.5628,1.5883,1.5922,1.6308,1.7139
Austria,Customs & other import duties,AT,0.0,0.0,0.0,0.0,0.0
Austria,Grants revenue,AT,0.0732,0.0603,0.111,0.1194,0.086
Austria,Grants revenue from foreign govts,AT,0.0112,0.01,0.0346,0.0476,0.0129
Austria,Grants revenue from int orgs,AT,0.062,0.0503,0.0763,0.0718,0.0731
Austria,Grants revenue from other gen govt,AT,0.0,0.0,0.0,0.0,0.0
Austria,Other revenue,AT,6.161,6.0531,6.0757,6.0424,6.2585
Austria,Revenue,AT,48.4772,48.4364,48.8596,49.1233,48.7696
Austria,Social contributions,AT,15.1041,15.1735,15.2452,15.3721,16.0668
Austria,Tax revenue,AT,27.139,27.1496,27.4277,27.5893,26.3583
Austria,Taxes on goods & services,AT,12.2025,12.1932,11.9934,12.0177,11.763
Austria,"Taxes on income, profits, & capital gains",AT,12.0065,12.1713,12.7199,12.8709,11.8576
Austria,Taxes on int trade & transactions,AT,0.0,0.0,0.0,0.0,0.0
Austria,Taxes on payroll & workforce,AT,2.6279,2.4846,2.4109,2.4192,2.4556
