,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
,,,2015,2015,2015,2020,2015,2015,2015,2015,2020,2020,2020,2020,2015,2015,2015,2015,2015,2015,2015,2015,2020,2020,
1,北海道　　　,Hokkaido,"5,381,733","5,348,768","21,676","5,228,732","608,296","3,190,804","1,558,387","4,047,281","29,523","65,078","237,993","239,309","5,378,786","2,444,810","2,438,206","1,363,818","909,106","558,618","327,509","319,408","20,904","9,070",1
1100,札幌市　　　　,Sapporo-shi,"1,952,356","1,937,785","8,820","1,961,575","221,013","1,235,516","483,534","1,899,081","12,259","20,261","119,776","109,283","1,959,740","921,837","920,415","493,644","375,242","178,246","98,660","104,650","9,131","3,691",1100
1101,  中央区　　　　,  Chuo-ku,"237,627","235,280","1,891","239,944","23,997","160,339","50,536","235,356","1,542","2,256","21,102","18,650","386,602","132,006","131,819","52,695","73,164","16,633","9,542","14,403","1,564",511,1101
1102,  北区　　　　　,  Kita-ku,"285,321","281,851","2,023","286,054","32,916","178,950","68,960","275,495","1,723","2,881","15,578","14,238","273,734","133,662","133,477","70,121","55,247","25,763","14,221","14,688","1,135",505,1102
1103,  東区　　　　　,  Higashi-ku,"261,912","259,619","1,121","262,298","30,716","168,302","61,448","255,507","1,838","2,596","15,263","14,111","247,799","124,425","124,251","65,606","51,879","22,696","12,156","14,050","1,297",520,1103
1104,  白石区　　　　,  Shiroishi-ku,"209,584","207,888",595,"214,050","23,590","136,879","47,879","205,645","1,560","2,165","14,373","12,928","206,604","104,608","104,464","51,433","47,852","17,108","8,994","11,906","1,296",508,1104
1105,  豊平区　　　　,  Toyohira-ku,"218,652","217,089","1,120","224,435","23,865","142,751","51,458","217,832","1,598","2,175","16,501","15,030","194,075","110,171","110,023","54,133","50,040","18,773","10,165","12,419","1,348",379,1105
1106,  南区　　　　　,  Minami-ku,"141,190","140,507",437,"135,748","14,271","81,598","44,854","122,354",646,"1,809","7,633","7,303","124,106","61,291","61,145","37,667","19,698","16,641","9,617","8,722",373,209,1106
1107,  西区　　　　　,  Nishi-ku,"213,578","212,670",566,"218,128","24,842","133,411","54,865","211,996","1,459","2,224","12,878","10,998","191,105","97,750","97,585","56,438","35,275","20,529","11,312","11,536","1,049",387,1107
1108,  厚別区　　　　,  Atsubetsu-ku,"127,767","127,344",408,"126,274","13,990","77,888","35,713","125,771",609,"1,360","5,953","6,152","117,400","55,585","55,498","35,886","16,711","13,975","8,005","6,802",426,204,1108
1109,  手稲区　　　　,  Teine-ku,"140,999","140,298",259,"141,974","17,367","84,637","38,561","137,016",767,"1,598","6,266","5,483","119,942","57,333","57,238","37,965","15,186","14,745","8,199","5,867",388,266,1109
1110,  清田区　　　　,  Kiyota-ku,"115,726","115,239",400,"112,670","15,459","70,761","29,260","112,109",517,"1,197","4,229","4,390","98,373","45,006","44,915","31,700","10,190","11,383","6,449","4,257",255,202,1110
1202,函館市　　　　,Hakodate-shi,"265,979","264,537",771,"251,891","27,131","152,154","85,931","229,488","1,231","3,827","7,966","8,881","273,408","123,950","123,651","66,690","48,247","29,540","16,258","20,148",929,431,1202
1203,小樽市　　　　,Otaru-shi,"121,924","121,415",411,"112,450","11,171","65,317","45,240","104,874",425,"1,932","3,027","3,493","124,293","55,466","55,299","31,709","19,911","15,984","8,950","10,585",318,144,1203
1204,旭川市　　　　,Asahikawa-shi,"339,605","335,678",613,"331,397","37,173","191,423","106,444","313,661","1,913","4,617","10,028","10,068","341,732","155,747","155,218","88,393","57,488","38,167","23,059","22,400","1,280",545,1204
1205,室蘭市　　　　,Muroran-shi,"88,564","88,203",297,"81,579","9,185","49,005","30,118","69,665",421,"1,236","2,829","3,446","96,865","43,616","43,536","23,014","18,486","10,954","6,773","7,295",294,118,1205
1206,釧路市　　　　,Kushiro-shi,"174,742","174,120",440,"165,667","19,400","101,909","52,867","156,092",863,"2,271","5,439","6,480","175,733","82,078","81,846","45,098","31,697","19,105","11,305","11,926",633,308,1206
1207,帯広市　　　　,Obihiro-shi,"169,327","168,800",524,"165,670","20,566","103,890","44,636","151,189","1,076","1,839","7,320","6,966","175,954","77,707","77,525","42,823","29,720","16,117","9,615","8,907",835,275,1207
1208,北見市　　　　,Kitami-shi,"121,226","120,936",283,"115,435","13,570","70,781","36,437","80,955",611,"1,512","3,745","4,051","121,080","56,202","56,043","31,420","21,103","13,045","8,072","7,328",467,201,1208
1209,夕張市　　　　,Yubari-shi,"8,843","8,755",88,"7,430",500,"4,045","4,296",...,22,186,148,339,"9,104","4,539","4,526","2,256","1,984","1,443",922,"1,178",23,6,1209
1210,岩見沢市　　　,Iwamizawa-shi,"84,499","84,215",96,"79,352","8,983","47,848","27,503","48,561",369,"1,094","2,402","2,763","81,725","36,155","36,060","21,610","11,431","9,773","5,712","5,234",294,130,1210
1211,網走市　　　　,Abashiri-shi,"39,077","38,807",188,"34,640","4,571","23,698","10,691","27,267",200,427,"1,687","1,841","39,790","18,035","17,984","9,153","7,571","3,803","2,316","2,169",135,59,1211
1212,留萌市　　　　,Rumoi-shi,"22,221","22,106",99,"20,257","2,290","12,391","7,513","17,257",99,320,894,"1,125","22,545","10,402","10,358","5,774","3,877","2,678","1,655","1,619",84,33,1212
1213,苫小牧市　　　,Tomakomai-shi,"172,737","172,161",405,"170,205","22,401","105,217","44,469","142,348","1,139","1,950","5,638","5,883","173,151","78,298","78,145","45,158","28,681","16,374","9,876","9,201",791,338,1213
1214,稚内市　　　　,Wakkanai-shi,"36,380","36,082",298,"33,032","4,304","21,570","10,505","29,544",187,448,"1,292","1,623","36,493","16,486","16,445","9,191","5,972","3,923","2,227","2,084",116,70,1214
1215,美唄市　　　　,Bibai-shi,"23,035","23,000",33,"20,504","1,973","12,205","8,853","10,663",64,387,460,702,"22,721","10,173","10,098","5,620","3,567","2,952","1,771","1,992",54,26,1215
1216,芦別市　　　　,Ashibetsu-shi,"14,676","14,634",42,"12,774","1,109","7,160","6,405","7,136",40,280,285,467,"14,372","6,862","6,828","3,897","2,395","2,202","1,376","1,440",30,19,1216
1217,江別市　　　　,Ebetsu-shi,"120,636","120,094",391,"119,815","13,524","74,253","32,585","109,372",638,"1,265","5,204","4,360","108,051","51,983","51,905","32,310","16,659","12,742","7,527","5,849",292,164,1217
1218,赤平市　　　　,Akabira-shi,"11,105","11,051",54,"9,642",835,"5,306","4,964",...,25,228,243,300,"11,560","4,980","4,948","2,770","1,828","1,617","1,011","1,098",22,8,1218
1219,紋別市　　　　,Mombetsu-shi,"23,109","22,705",310,"21,317","2,329","12,707","7,631","15,822",91,336,716,891,"23,095","11,127","11,101","5,900","4,461","2,760","1,676","1,683",73,46,1219
1220,士別市　　　　,Shibetsu-shi,"19,914","19,815",57,"18,134","2,066","10,384","7,451","11,647",71,264,397,646,"19,922","8,650","8,625","5,068","2,703","2,516","1,690","1,331",43,27,1220
1221,名寄市　　　　,Nayoro-shi,"29,048","28,926",118,"27,059","3,453","16,755","8,794","18,879",161,297,"1,256","1,331","29,205","13,086","13,012","7,179","4,938","3,099","2,015","1,658",121,45,1221
1222,三笠市　　　　,Mikasa-shi,"9,076","9,059",17,"8,148",694,"4,199","4,181",...,38,194,315,314,"9,154","4,254","4,241","2,313","1,649","1,407",819,"1,050",20,3,1222
1223,根室市　　　　,Nemuro-shi,"26,917","26,633",253,"24,858","3,033","15,533","8,285","15,511",115,385,672,"1,015","27,066","11,383","11,363","6,314","3,692","2,885","1,595","1,498",105,33,1223
1224,千歳市　　　　,Chitose-shi,"95,648","95,212",435,"97,942","13,573","61,908","19,979","80,072",708,915,"5,977","5,485","99,138","40,638","40,465","24,115","14,048","7,774","4,454","3,742",528,205,1224
1225,滝川市　　　　,Takikawa-shi,"41,192","41,054",80,"39,264","4,456","23,001","13,353","28,972",214,579,"1,639","1,889","40,275","18,651","18,600","10,717","6,591","4,710","2,965","2,670",164,62,1225
1226,砂川市　　　　,Sunagawa-shi,"17,694","17,666",23,"16,505","1,758","9,355","6,390","8,905",76,295,522,640,"18,484","7,858","7,840","4,627","2,594","2,323","1,452","1,195",50,24,1226
1227,歌志内市　　　,Utashinai-shi,"3,585","3,581",4,"3,019",217,"1,696","1,672",...,6,67,54,105,"3,225","1,665","1,659",920,637,561,326,369,8,1,1227
1228,深川市　　　　,Fukagawa-shi,"21,909","21,846",49,"20,085","1,995","11,281","8,616","10,508",84,348,742,808,"22,181","9,669","9,636","5,550","3,297","2,861","1,875","1,554",49,20,1228
1229,富良野市　　　,Furano-shi,"22,936","22,742",140,"21,071","2,684","13,092","7,096","14,269",125,278,776,"1,059","23,576","9,929","9,892","5,363","3,583","2,273","1,425","1,210",88,29,1229
1230,登別市　　　　,Noboribetsu-shi,"49,625","49,500",92,"46,833","5,312","26,948","16,602","37,774",243,624,"1,616","1,986","42,950","21,681","21,640","13,324","6,777","6,233","3,934","3,009",163,75,1230
1231,恵庭市　　　　,Eniwa-shi,"69,702","69,450",190,"70,097","9,132","42,897","17,465","63,166",424,669,"3,233","2,939","65,918","28,846","28,752","18,092","8,768","6,752","3,962","2,827",272,143,1231
