,,,"Prefectural income per person
(2011 base)","Annual increase rate of gross prefectural product
(2011 base)",Annual increase rate of prefectural income (2011 base),"Annual increase rate of gross prefectural income (nominal)
(2011 base)",Ratio of secondary industry establishments,Ratio of tertiary industry establishments,Ratio of private establishments with 1-4 employees,Ratio of private establishments with 100-299 employees,Ratio of private establishments with 300 employees and over,Number of employees in secondary industry (per establishment),Number of employees in tertiary industry (per establishment),Ratio of employees in private establishments with 1-4 employees,Ratio of employees in private establishments with 100-299 employees,Ratio of employees in private establishments with 300 employees and over,"Gross agricultural product per agricultural worker
(Independent management)",Ratio of cultivated land area,Land productivity (per hectare of cultivated land area),"Cultivated land area
 (per farm household)","Value of manufactured goods shipments, etc. (per employee)","Value of manufactured goods shipments, etc. (per establishment)",Annual sales of commercial goods (Wholesale and retail trade) (per employee),Annual sales of commercial goods (Wholesale and retail trade) (per establishment),"Outstanding of deposits of domestically licensed banks
(per capita)","Outstanding post-office savings
(per capita)",Regional Difference Index of Consumer Prices (All items),"Regional Difference Index of Consumer Prices (All items, less rent)",Regional Difference Index of Consumer Prices (Food),Regional Difference Index of Consumer Prices (Housing),"Regional Difference Index of Consumer Prices (Fuel, light and water charges)",Regional Difference Index of Consumer Prices (Furniture and household utensils),Regional Difference Index of Consumer Prices (Clothes and footwear),Regional Difference Index of Consumer Prices (Medical care),Regional Difference Index of Consumer Prices (Transportation and communication),Regional Difference Index of Consumer Prices (Education),Regional Difference Index of Consumer Prices (Culture and recreation),Regional Difference Index of Consumer Prices (Miscellaneous),Annual increase rate of land prices (Residential)
,,,#C01311,#C01111,#C01115,#C01116,#C02104,#C02105,#C02206,#C02209,#C02210,#C03305,#C03306,#C03206,#C03209,#C03210,#C0410102,#C04105,#C04106,#C0410701,#C04401,#C04404,#C04505,#C04507,#C04605,#C0460101,#L04414,#L04415,#L04416,#L04417,#L04418,#L04419,#L04420,#L04421,#L04422,#L04423,#L04424,#L04425,#L04302
,年度,Fiscal year,2017,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2016,2016,2016,2019,2020,2019,2020,2019,2019,2018,2018,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
0,全国,All Japan,"3,304",2,2.4,2.2,17.65,81.75,57.05,0.93,0.23,12.95,10.41,11.46,13.74,14.6,655.8,11.7,203.3,"25,024.60","4,146.70","1,742.30","3,971.70",339.9,644.4,138.8,100,100,100,100,100,100,100,100,100,100,100,100,-0.7
1,北海道,Hokkaido,"2,682",1.7,2.6,2,14.03,84.07,57.1,0.82,0.15,11.5,9.85,12.51,13.26,8.95,"1,777.70",14.6,109.8,"304,037.90","3,544.40","1,194.70","3,459.20",285,322,141.5,100.3,101.1,100.2,86.1,116.6,100.9,105.2,100.7,99.6,92.7,98.1,100.2,-0.5
2,青森県,Aomori-ken,"2,490",-1.5,-2.3,-0.6,14.73,84.06,59.9,0.69,0.09,12.48,8.68,14.27,12.34,5.43,652.6,15.5,208.5,"41,080.50","2,999.20","1,254.30","2,780.00",193.4,345.3,111,98.1,99,98,86.4,110.8,99.4,100.4,98.6,99,95.6,95,94.8,-1.2
3,岩手県,Iwate-ken,"2,772",2.1,2.4,2.1,15.87,82.62,58.32,0.69,0.12,14.78,8.56,13.35,11.75,7.19,601.9,9.8,178.6,"28,374.60","2,986.40","1,258.40","2,791.60",192.6,382.3,124.1,99,99.5,98.3,90.6,111.7,100.2,99,100,98.9,88.2,99.4,96.7,-1.1
4,宮城県,Miyagi-ken,"2,944",0.9,1.6,1.4,15.94,83.41,54.34,0.84,0.19,13.49,10.22,11.5,12.67,10.31,588.7,17.3,153,"30,306.70","3,818.70","1,757.90","4,174.20",341.4,463.3,122.8,99.3,99.5,98.3,96.9,103.5,102.2,98.4,100.8,99.1,95.4,99,101.1,0.1
5,秋田県,Akita-ken,"2,699",3.9,4.5,4,17.76,80.73,61.25,0.59,0.1,11.45,8.19,14.65,10.94,7.44,572.7,12.6,131.3,"39,524.70","2,056.60",751.7,"2,596.20",168.1,390.4,116.6,97.9,98.3,97.6,82.1,107.9,102.8,101.1,98.5,98,86.1,97.7,99.6,-1.8
6,山形県,Yamagata-ken,"2,923",5.4,6.4,5.8,20.2,78.89,61.9,0.65,0.14,12.51,8.01,14.94,12.08,7.93,655.1,12.5,218,"29,499.30","2,816.10","1,168.20","2,626.40",166,391,114.5,100.5,101,102.3,93.2,112.2,97.2,95.9,97.1,99.9,104,97.4,97.1,-0.7
7,福島県,Fukushima-ken,"2,971",-0.9,0.3,-0.7,19.76,79.49,58.46,0.77,0.14,13.54,8.57,13.21,12.9,8.58,404.3,10,149.4,"22,082.90","3,169.70","1,446.60","2,945.10",202.1,417.9,143.6,99.4,100,99.9,90.8,110.2,101.7,102.8,98.9,99,92,94.2,101.4,-0.6
