,,,,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳以上
全国・都道府県コード,全国・都道府県,国籍コード,国籍,移動前・移動後の住所地コード,移動前・移動後の住所地,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
1000,北海道,60000,移動者,0,全国,-2025,318,-61,-60,-380,-3218,-671,207,341,98,195,157,436,466,261,131,-11,-76,-99,-59,341,114,-47,-25,123,-1255,-191,152,246,83,103,138,273,329,215,124,2,4,-29,-18,-2366,204,-14,-35,-503,-1963,-480,55,95,15,92,19,163,137,46,7,-13,-80,-70,-41
1000,北海道,60000,移動者,1000,北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,北海道,60000,移動者,2000,青森県,370,-6,-4,-4,72,201,64,-3,-27,-15,22,-5,13,23,12,10,6,13,-2,0,169,-4,-11,2,52,72,42,0,-18,-3,9,-8,9,9,7,7,1,3,0,0,201,-2,7,-6,20,129,22,-3,-9,-12,13,3,4,14,5,3,5,10,-2,0
1000,北海道,60000,移動者,3000,岩手県,86,-15,-7,-3,146,-21,1,-3,3,-13,2,2,-5,8,1,-3,-1,-4,-3,1,40,-5,-10,2,83,-22,3,-1,1,-7,3,-1,-8,7,1,-4,3,0,-4,-1,46,-10,3,-5,63,1,-2,-2,2,-6,-1,3,3,1,0,1,-4,-4,1,2
1000,北海道,60000,移動者,4000,宮城県,17,-4,-32,-19,-1,3,29,8,13,4,5,-8,8,3,4,7,-1,-4,3,-1,40,-1,-14,-11,-1,13,7,11,0,19,5,-12,7,9,1,2,3,-2,3,1,-23,-3,-18,-8,0,-10,22,-3,13,-15,0,4,1,-6,3,5,-4,-2,0,-2
1000,北海道,60000,移動者,5000,秋田県,47,-3,-9,-8,61,15,-6,-1,-13,-5,2,4,15,0,-8,-4,3,4,-1,1,23,-4,-7,-1,38,2,-5,0,-5,-1,-3,2,9,2,-4,-2,-1,3,-1,1,24,1,-2,-7,23,13,-1,-1,-8,-4,5,2,6,-2,-4,-2,4,1,0,0
1000,北海道,60000,移動者,6000,山形県,-29,-7,-11,-7,22,23,-14,7,-2,-5,-16,-13,2,-2,-3,-2,1,0,-2,0,-4,-2,-6,-2,26,16,-13,8,2,-1,-14,-8,-4,-5,0,1,-1,0,-1,0,-25,-5,-5,-5,-4,7,-1,-1,-4,-4,-2,-5,6,3,-3,-3,2,0,-1,0
1000,北海道,60000,移動者,7000,福島県,156,3,-13,-2,47,14,37,11,30,16,3,-4,25,0,-7,1,-2,-3,1,-1,85,-4,-12,1,24,3,30,12,18,13,-1,-6,14,5,-5,-3,-2,-2,0,0,71,7,-1,-3,23,11,7,-1,12,3,4,2,11,-5,-2,4,0,-1,1,-1
1000,北海道,60000,移動者,8000,茨城県,-112,7,-5,-6,11,-37,-37,28,-2,0,-20,-25,5,10,-8,-1,-8,-12,-11,-1,-53,6,-7,-3,7,-21,-7,18,-6,4,-14,-29,0,8,-2,0,0,-5,-2,0,-59,1,2,-3,4,-16,-30,10,4,-4,-6,4,5,2,-6,-1,-8,-7,-9,-1
1000,北海道,60000,移動者,9000,栃木県,-156,-10,-7,-3,3,-38,-36,2,-27,-1,-10,-12,1,5,-6,-8,-4,-1,-4,0,-39,-11,-1,3,12,-14,-10,15,-14,-4,-5,-10,2,2,-1,-3,-1,0,0,1,-117,1,-6,-6,-9,-24,-26,-13,-13,3,-5,-2,-1,3,-5,-5,-3,-1,-4,-1
1000,北海道,60000,移動者,10000,群馬県,-82,8,-5,0,-24,-14,-21,-27,11,-2,-6,8,-4,4,2,-6,3,-2,-6,-1,-30,3,-1,0,-21,3,-10,-17,2,-2,-2,12,1,5,2,-4,2,0,-3,0,-52,5,-4,0,-3,-17,-11,-10,9,0,-4,-4,-5,-1,0,-2,1,-2,-3,-1
1000,北海道,60000,移動者,11000,埼玉県,-186,39,17,-15,12,-202,-119,-7,31,-36,-5,25,35,51,35,-8,-5,-13,-6,-15,35,15,3,-11,16,-62,-26,0,33,-29,0,24,19,31,40,-3,-5,1,-4,-7,-221,24,14,-4,-4,-140,-93,-7,-2,-7,-5,1,16,20,-5,-5,0,-14,-2,-8
1000,北海道,60000,移動者,12000,千葉県,-360,-12,-34,-26,-52,-244,-89,37,20,-19,-2,10,55,24,26,11,-15,-15,-28,-7,-96,-2,-18,-26,-42,-109,-42,25,22,-11,8,11,34,19,29,19,-8,1,-3,-3,-264,-10,-16,0,-10,-135,-47,12,-2,-8,-10,-1,21,5,-3,-8,-7,-16,-25,-4
1000,北海道,60000,移動者,13000,東京都,-1886,187,59,8,-850,-2134,-383,120,198,178,124,108,159,190,92,92,0,-5,-25,-4,-652,91,40,10,-416,-1019,-201,82,101,115,84,87,101,123,71,63,3,14,-1,0,-1234,96,19,-2,-434,-1115,-182,38,97,63,40,21,58,67,21,29,-3,-19,-24,-4
1000,北海道,60000,移動者,14000,神奈川県,-208,70,3,-14,5,-612,-77,27,52,14,44,63,69,118,51,36,0,-12,-24,-21,280,37,13,-1,111,-197,-43,16,57,33,27,57,44,91,37,26,-3,0,-15,-10,-488,33,-10,-13,-106,-415,-34,11,-5,-19,17,6,25,27,14,10,3,-12,-9,-11
