,,,Labour force participation rate (Male),Labour force participation rate (Female),Ratio of persons employed in primary industry,Ratio of persons employed in secondary industry,Ratio of persons employed in tertiary industry,Unemployment rate (Both sexes),Ratio of employees to all workers,Ratio of persons living and working in the same prefecture,Ratio of commuters to other municipalities,Ratio of commuters from other municipalities,Ratio of new employment,Ratio of job vacancies to application,Ratio of newly filled vacancies,Ratio of employment to part-time job applications (Regular),Ratio of aged employees (65 years old and over),Ratio of aged general workers (65 years old and over),Ratio of employment for the disabled persons,Ratio of new employment to upper secondary school graduates,Ratio of upper secondary school graduates getting jobs outside the prefecture,Job vacancies rate of new upper secondary school graduates,Ratio of new employment to college or university graduates ,Ratio of new college or university graduates not working,Ratio of persons who changed jobs,Ratio of persons who quit their jobs,Ratio of newly employed,Ratio of job changes,"Monthly average of hours actually worked
(Male)","Monthly average of hours actually worked
(Female)","Salary of part-time workers
(per hour, Male)","Salary of part-time workers (per hour, Female)","Number of part-time workers
 (Male)",Number of part-time workers (Female),Scheduled cash earnings for upper secondary school graduates (Male),Scheduled cash earnings for upper secondary school graduates (Female)
,,,#F0110101,#F0110102,#F01201,#F01202,#F01203,#F01301,#F02301,#F02501,#F02701,#F02702,#F03101,#F03103,#F03104,#F0320101,#F0350303,#F0350403,#F03602,#F03303,#F03302,#F03304,#F03403,#F03402,#F04101,#F04102,#F04103,#F04104,#F0610103,#F0610104,#F06207,#F06206,#F03242,#F03241,#F0620307,#F0620308
,年度,Fiscal year,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2020,2020,2020,2020,2015,2019,2019,2019,2019,2019,2019,2019,2017,2017,2017,2017,2020,2020,2020,2020,2020,2020,2020,2020
0,全国,All Japan,65.8,47,3.8,23.6,67.2,4.2,79.1,87.1,41.8,41.8,4.6,1.06,4.3,6,22.5,2.13,46.2,17.4,19.2,2.9,77.7,7.1,5,4,5.7,8.7,178,168,"1,658","1,321","3,202,750","8,664,130",179.5,174.6
1,北海道,Hokkaido,64.2,44.6,7,16.9,70.6,4.6,78.4,95,28,27.9,4.4,1,4.4,4.8,19.4,2.13,45.6,22.3,7.7,2.67,75.1,7.5,4.9,4.9,5.6,8.4,181,167,"1,415","1,151","96,380","343,600",174.7,165
2,青森県,Aomori-ken,67.9,48.6,12,19.8,65.1,5.3,75.4,96.6,19.2,18.9,7.2,0.94,7.7,8.3,23,1.74,53.2,30.1,45,1.69,82.4,5.6,3.7,3.6,4.5,6.7,180,169,"1,367","1,017","16,620","55,100",165.5,161.8
3,岩手県,Iwate-ken,69.6,49.6,10.6,25.1,62.9,4,78.6,97.2,21.8,21.5,8.5,1.04,8.2,9.8,24.5,2.53,55.2,28.4,32.7,2.1,70.3,7.7,4.7,3.9,4.1,7.5,179,168,"1,358","1,057","14,980","55,980",169,163.7
4,宮城県,Miyagi-ken,67.4,46.6,4.4,22.9,70.5,4.9,82.4,96.7,43.1,43.3,5.7,1.25,4.6,7,20.2,2.63,44.4,23.2,20.4,2.87,77.2,5.7,5.1,4,5.4,8.5,181,171,"1,432","1,153","47,110","133,540",175.8,173.1
5,秋田県,Akita-ken,66.4,46.2,9.6,24,64.7,4.3,77.7,98.1,16.3,15.9,8.4,1.25,6.8,10.1,21,2.25,56.4,30.9,32.2,2.21,73.8,3.4,4,3.8,4,6.6,178,168,"1,167","1,160","12,370","41,170",169.2,158.5
6,山形県,Yamagata-ken,68.9,50.6,9.2,28.4,60.2,3.6,76.3,97.6,26.7,26.4,7.9,1.12,7,9.3,23.6,1.81,54.6,28,25.8,2.34,71,4.3,4.1,3.5,3.8,6.8,178,168,"1,306","1,157","15,190","42,270",163.6,158.7
7,福島県,Fukushima-ken,68.5,48,6.5,29.4,60.2,4.4,77.9,95.7,22.2,23.1,7.4,1.27,5.8,8.2,23.1,2.04,49.7,29.1,18.4,2.13,80,6.8,4.4,3.9,4.7,7.6,179,167,"1,302","1,076","28,790","79,750",177.6,169.1
8,茨城県,Ibaraki-ken,68.5,48.1,5.6,28.5,61.7,4.5,79.4,87.2,40.7,36.7,5.2,1.18,4.4,6.8,22.8,1.81,51.2,21.4,13.9,2.33,66,6.3,4.4,4.1,5,8,179,168,"1,566","1,178","68,090","193,240",181.9,169.8
9,栃木県,Tochigi-ken,68.9,49,5.5,30.7,60.1,4.3,79,90.3,32.9,31.3,5.2,1,5.2,6.5,24.2,2.13,53.2,22.6,18.1,2.31,78.2,5,5,3.9,4.8,8.2,178,167,"1,371","1,148","41,470","122,700",180.8,170.6
10,群馬県,Gumma-ken,68.9,49.8,5,30.8,61.2,4.3,79.3,92.5,34.9,35.3,5.1,1.07,4.7,7.5,23.8,2.54,48.8,20.2,12.5,2.94,81.6,5.1,5.1,4,5.1,8.4,179,169,"1,593","1,309","48,130","138,530",183.5,177.2
11,埼玉県,Saitama-ken,68,47.8,1.6,23.1,67.9,4.3,80.4,66.3,56.4,35.4,3,0.85,3.5,4.6,23.2,1.94,39.7,13.2,29.9,2.64,82.9,7.2,5.6,4,6.2,9.5,180,168,"1,524","1,282","185,410","508,400",187.7,189.6
12,千葉県,Chiba-ken,65.8,46.5,2.8,19.4,72.3,4.1,81.8,69.4,55.1,34.5,3.1,0.84,3.7,4.8,22.2,2.06,45.7,13,21.2,2.54,77.8,7,5.8,4.1,5.7,9.3,180,167,"1,557","1,325","154,720","389,700",179.4,183.3
13,東京都,Tokyo-to,59.8,44.3,0.4,15.3,72.1,3.9,74.2,82,56.4,93,2.2,1.15,1.9,4.1,24.7,3.33,34,6.2,11.2,9.06,77.9,7.9,5.7,3.5,6.2,9.8,175,168,"2,068","1,706","518,830","1,130,250",181.9,186.7
14,神奈川県,Kanagawa-ken,63.8,44.9,0.8,21,72.1,3.9,83,71.3,59.1,41.6,2.4,0.74,3.3,4.5,21.2,1.52,33.5,8.3,19.9,3,77.8,7.7,5.3,4.1,6.4,9.5,180,168,"1,858","1,419","246,720","667,420",193.3,181.2
