,Prefectures,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1, Hokkaido,"-5,687",757,"-2,365","12,923","11,040",405,"-14,309","-30,003","-32,336","-40,782","-33,190","-30,843","-28,187","-39,884","-44,967","-55,281","-74,591","-55,390","-39,433","-34,586","-13,505","-5,175",-895,"-4,329","-4,354","-1,824","-4,729","-10,389","-11,680","-13,648","-19,885","-27,078","-32,047","-34,338","-23,581","-21,795","-16,326","-10,792","-5,730","-2,607",-858,"1,076","-1,517","-3,638","-9,632","-7,668","-8,918","-10,624","-8,772","-9,809","-11,705","-14,211","-18,386","-20,267","-21,129","-12,178","-8,637","-2,482","-6,745","-8,154","-8,942","-8,862","-6,874","-6,569","-7,953","-7,730","-1,924","-2,147"
2, Aomori-ken,"-6,110","-5,097","-5,423","-6,769",- 8 003,"-8,621","-12,680","-17,227","-20,322","-16,247","-16,109","-16,114","-10,599","-12,099","-12,156","-13,932","-16,910","-15,271","-10,988","-9,959","-8,587","-2,467",-436,"-2,339","-1,501","-4,348","-5,152","-8,034","-8,446","-9,200","-10,858","-10,467","-12,809","-11,944","-12,835","-11,858","-11,007","-9,709","-7,193","-3,181","-1,039",-695,"-1,662","-2,503","-2,920","-2,533","-2,329","-2,974","-4,417","-5,185","-6,644","-7,182","-9,465","-10,274","-9,266","-6,599","-5,032","-3,256","-5,343","-6,056","-6,460","-6,560","-6,323","-6,075","-6,452","-6,347","-4,732","-4,227"
3, Iwate-ken,"-9,613","-8,414","-8,791","-11,613",- 9 191,"-11,558","-14,715","-20,050","-20,691","-20,732","-24,166","-19,966","-17,317","-19,473","-17,416","-20,333","-21,239","-18,048","-14,858","-11,481","-7,351","-5,119","-3,872","-5,795","-4,500","-4,598","-4,679","-5,210","-6,443","-6,836","-6,921","-7,988","-9,016","-10,013","-7,267","-8,209","-5,012","-4,480","-3,074",-954,-965,-469,-606,"-1,082","-2,107","-1,774","-2,222","-3,568","-4,684","-4,078","-4,490","-5,868","-5,873","-7,010","-6,911","-5,543","-4,238","-3,443","-2,385","-2,431","-3,200","-4,122","-3,870","-4,361","-5,000","-4,668","-3,867","-2,873"
4, Miyagi-ken,"-9,677","-7,606","-10,395","-19,332",- 11 959,"-15,562","-19,250","-21,231","-19,731","-12,619","-10,612","-8,596","-6,875","-5,540","-4,476","-4,327","-2,509",-719,"1,615","5,878","8,668","7,304","6,167","4,072","4,236","6,794","4,164","3,537","3,787",393,-114,324,140,"2,818","4,429","4,101","4,893","7,267","6,184","6,753","6,107","7,112","4,882","3,887","1,302",39,-731,"-2,308","-3,550","-1,557","-3,283","-3,750","-4,961","-5,394","-5,026","-1,927",-556,"-6,402","6,069","4,656","2,437",-76,-483,"-1,262","-1,700","-3,083",-164,117
5, Akita-ken,"-11,974","-10,831","-14,708","-18,702",- 16 721,"-15,666","-20,264","-23,694","-25,511","-23,941","-21,539","-21,339","-17,576","-17,352","-17,301","-16,695","-18,252","-16,045","-14,125","-12,561","-8,380","-3,847","-2,547","-3,474","-4,143","-3,612","-5,092","-6,045","-7,768","-7,152","-7,160","-6,932","-8,181","-7,785","-7,645","-6,872","-5,066","-4,754","-3,600","-2,204",-950,"-1,743","-2,121","-2,575","-2,454","-2,574","-3,068","-3,137","-4,034","-4,382","-3,654","-4,767","-5,814","-6,806","-6,187","-4,549","-3,728","-2,690","-3,574","-4,595","-4,423","-4,492","-4,398","-4,319","-4,542","-4,194","-3,000","-2,898"
6, Yamagata-ken,"-15,780","-14,124","-14,554","-17,867",- 16 885,"-18,106","-17,201","-22,658","-23,166","-20,532","-20,665","-19,090","-14,912","-13,029","-14,334","-13,936","-15,236","-15,199","-11,681","-9,439","-6,528","-4,388","-2,072","-2,413","-2,440","-3,119","-3,016","-4,010","-5,348","-5,530","-4,161","-4,280","-4,638","-4,312","-3,887","-4,694","-3,878","-3,161","-2,423","-1,487","-1,127",-646,"-1,969","-1,717","-1,767","-2,265","-1,734","-3,456","-3,612","-4,011","-3,618","-4,215","-4,674","-5,195","-5,207","-4,000","-3,607",-913,"-2,700","-4,081","-3,573","-4,143","-3,639","-3,864","-3,882","-4,543","-3,227","-3,111"
7, Fukushima-ken,"-27,014","-22,190","-25,938","-30,957",- 24 068,"-30,039","-36,491","-36,987","-36,358","-33,322","-29,999","-27,015","-24,496","-21,087","-20,995","-20,004","-18,110","-20,814","-15,796","-12,034","-8,177","-7,578","-5,173","-3,980","-4,982","-5,045","-4,536","-6,336","-5,759","-4,936","-4,070","-4,903","-6,327","-4,684","-4,894","-3,710","-2,235","-2,238",455,"1,456",613,272,"-1,613","-2,747","-3,553","-3,106","-3,412","-5,782","-6,063","-6,389","-6,157","-6,302","-7,785","-8,949","-8,284","-7,909","-5,752","-31,381","-13,843","-5,200","-2,211","-2,395","-5,839","-8,395","-7,841","-6,925","-6,278","-5,671"
8, Ibaraki-ken,"-19,978","-18,014","-17,539","-18,101",- 19 456,"-20,196","-17,012","-10,131","-15,066","-18,959","-17,045","-17,014","-17,418","-7,817","-4,793","10,973","14,042","10,434","4,727","15,306","19,068","15,469","12,898","15,209","24,681","27,507","24,106","17,495","19,555","13,414","8,220","8,092","6,109","10,190","14,775","15,820","13,986","16,548","13,693","11,755","10,478","6,778","2,723","2,594",723,-564,"-3,699","-4,672","-4,459","-4,093","-3,454","-3,439","-2,157","-2,446","-2,456","1,722",944,"-4,751","-4,066","-5,138","-4,849","-4,826","-3,709","-3,012","-4,760","-4,505","-1,748",881
9, Tochigi-ken,"-21,649","-19,947","-19,023","-20,440",- 18 764,"-19,345","-18,123","-13,509","-11,429","-10,745","-10,236","-10,510","-10,413","-6,071","-1,548","2,042","6,755","5,662","3,074","7,038","4,194",145,623,"1,296","1,346","4,861","1,861",631,384,-256,"1,748","3,400","2,538","3,482","3,338","4,248","6,678","4,938","3,850","5,021","2,517","2,463","2,968","1,724",818,270,135,"-1,885","-2,156",-392,"1,465",-319,"-1,185",-118,"-1,503","-2,573","-1,525","-1,414","-1,286","-1,463","-1,795","-2,924","-2,988","-1,610","-2,897","-3,518","-1,758",-716
10, Gumma-ken,"-18,508","-14,462","-16,876","-21,829",- 20 867,"-19,973","-16,561","-14,592","-10,442","-9,768","-7,537","-7,814","-7,795","-5,050","-3,663","-2,943",-331,"-1,343",437,"3,049","1,630",-862,"3,971","3,791","1,923",912,"1,765","2,668","1,839","1,580","2,220","1,624",468,83,689,"2,191","1,451","2,035","1,382","1,175","1,584",674,-98,441,-40,825,50,"-1,002","-1,399",-818,"-2,022","-1,607","-2,456","-2,866","-2,370","-1,882","-1,298","-1,250","-1,298","-2,434","-2,250","-2,149","-2,736","-3,631","-2,711","-4,084","-2,278",-974
