,,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000
地域 コード,地域,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1000,北海道,0,370,86,17,47,-29,156,-112,-156,-82,-186,-360,"-1,886",-208,86,24,10,-3,22,27,48,107,-35,-31,20,37,-76,1,84,-20,3,-13,-41,-20,-33,22,-18,79,13,103,-3,-10,-11,-49,-39,26,8
2000,青森県,-370,0,-148,"-1,255",-17,-44,-60,-64,-86,-44,-347,-300,-960,-393,-19,4,19,3,-32,-35,9,44,-179,-24,7,59,-92,-24,20,-2,10,13,3,-2,4,17,15,-14,-2,-40,-2,-5,-19,-5,-4,41,11
3000,岩手県,-86,148,0,-953,179,-75,43,-92,-34,-66,-290,-230,-948,-336,2,-6,23,-15,-33,-35,-7,10,-40,21,-10,-40,-53,-20,-2,-19,-14,5,1,-2,-6,6,-13,23,9,-4,0,19,4,-2,-10,-25,-39
4000,宮城県,-17,"1,255",953,0,817,690,862,-91,-59,-19,-821,-816,"-2,242",-809,161,-19,19,24,-22,65,25,125,-228,-29,-28,-88,-318,-39,-5,7,29,-11,18,-35,4,2,9,4,-2,-134,-3,-8,7,2,42,-18,13
5000,秋田県,-47,17,-179,-817,0,-31,-40,-69,-67,-36,-235,-159,-579,-369,-76,-7,-14,7,7,5,-18,-23,-36,-17,-21,-8,-56,-14,13,3,1,-7,12,-16,0,-8,-1,-4,-1,5,9,-7,1,2,-3,-2,-10
6000,山形県,29,44,75,-690,31,0,-71,15,-45,-44,-290,-258,-796,-543,-208,10,-14,5,24,-41,4,-40,-66,17,-24,-33,-25,8,-10,-3,6,-5,28,-6,-21,-3,9,-6,4,-14,6,-9,-9,16,-5,9,-3
7000,福島県,-156,60,-43,-862,40,71,0,-400,-494,-73,-668,-415,"-1,656",-922,-70,36,18,-10,-70,-32,2,-76,-88,-47,-24,-51,-64,-8,-20,-18,-2,13,-12,14,-9,-3,1,-1,0,-63,0,11,-13,6,-5,-13,0
8000,茨城県,112,64,92,91,69,-15,400,0,-192,61,0,393,115,-351,123,29,-11,43,8,-33,32,150,212,86,50,26,-102,18,27,36,14,-9,-59,95,40,19,31,-24,12,107,0,74,73,54,35,-4,38
