,総　人　口        Total population,,,日本人人口       Japanese population,,
,Both sexes,Male,Female,Both sexes,Male,Female
1920,"55,963","28,044","27,919",          －,          －,          －
1921,"56,666","28,412","28,254",          －,          －,          －
1922,"57,390","28,800","28,590",          －,          －,          －
1923,"58,119","29,177","28,942",          －,          －,          －
1924,"58,876","29,569","29,307",          －,          －,          －
1925,"59,737","30,013","29,724",          －,          －,          －
1926,"60,741","30,521","30,220",          －,          －,          －
1927,"61,659","30,982","30,678",          －,          －,          －
1928,"62,595","31,449","31,146",          －,          －,          －
1929,"63,461","31,891","31,570",          －,          －,          －
1930,"64,450","32,390","32,060",          －,          －,          －
1931,"65,457","32,899","32,559",          －,          －,          －
1932,"66,434","33,355","33,079",          －,          －,          －
1933,"67,432","33,845","33,587",          －,          －,          －
1934,"68,309","34,294","34,015",          －,          －,          －
1935,"69,254","34,734","34,520",          －,          －,          －
1936,"70,114","35,103","35,011",          －,          －,          －
1937,"70,630","35,128","35,503",          －,          －,          －
1938,"71,013","35,125","35,888",          －,          －,          －
1939,"71,380","35,226","36,154",          －,          －,          －
1940,"71,933","35,387","36,546",          －,          －,          －
1941,"72,218",          －,          －,          －,          －,          －
1942,"72,880",          －,          －,          －,          －,          －
1943,"73,903",          －,          －,          －,          －,          －
1944,"74,433",          －,          －,          －,          －,          －
1945,"72,147",          －,          －,          －,          －,          －
1946,"75,750",          －,          －,          －,          －,          －
1947,"78,101","38,129","39,972",          －,          －,          －
1948,"80,002","39,130","40,873",          －,          －,          －
1949,"81,773","40,063","41,710",          －,          －,          －
1950,"83,200","40,812","42,388","82,672","40,514","42,158"
1951,"84,541","41,489","43,052","83,997","41,184","42,814"
1952,"85,808","42,128","43,680","85,247","41,815","43,432"
1953,"86,981","42,721","44,260","86,406","42,402","44,004"
1954,"88,239","43,344","44,895","87,652","43,020","44,632"
1955,"89,276","43,861","45,415","88,678","43,533","45,145"
1956,"90,172","44,301","45,871","89,573","43,974","45,599"
1957,"90,928","44,671","46,258","90,327","44,342","45,985"
1958,"91,767","45,078","46,689","91,162","44,749","46,413"
1959,"92,641","45,504","47,137","92,033","45,174","46,858"
1960,"93,419","45,878","47,541","92,841","45,566","47,275"
1961,"94,287","46,300","47,987","93,724","45,998","47,727"
1962,"95,181","46,733","48,447","94,613","46,430","48,183"
