年　次,,"人　口 (1,000人)",,,,割　合 (％),,,,
,,総  数,0～14歳,15～64歳,65歳以上,0～14歳,15～64歳,65歳以上,,
,,,,,,,,,,
平成 7,(1995),"125,570 ","20,033 ","87,260 ","18,277 ",16.0 ,69.5 ,14.6 ,,
     8,(1996),"125,869 ","19,707 ","87,158 ","19,004 ",15.7 ,69.2 ,15.1 ,,
     9,(1997),"126,156 ","19,400 ","87,014 ","19,743 ",15.4 ,69.0 ,15.6 ,,
    10,(1998),"126,420 ","19,099 ","86,848 ","20,473 ",15.1 ,68.7 ,16.2 ,,
    11,(1999),"126,665 ","18,821 ","86,688 ","21,156 ",14.9 ,68.4 ,16.7 ,,
,,,,,,,,,,
    12,(2000),"126,892 ","18,602 ","86,419 ","21,870 ",14.7 ,68.1 ,17.2 ,,
    13,(2001),"127,100 ","18,452 ","86,039 ","22,609 ",14.5 ,67.7 ,17.8 ,,
    14,(2002),"127,286 ","18,335 ","85,652 ","23,299 ",14.4 ,67.3 ,18.3 ,,
    15,(2003),"127,447 ","18,262 ","85,281 ","23,905 ",14.3 ,66.9 ,18.8 ,,
    16,(2004),"127,581 ","18,230 ","84,977 ","24,373 ",14.3 ,66.6 ,19.1 ,,
,,,,,,,,,,
    17,(2005),"127,684 ","18,235 ","84,443 ","25,006 ",14.3 ,66.1 ,19.6 ,,
    18,(2006),"127,752 ","18,257 ","83,747 ","25,748 ",14.3 ,65.6 ,20.2 ,,
    19,(2007),"127,782 ","18,273 ","83,017 ","26,492 ",14.3 ,65.0 ,20.7 ,,
    20,(2008),"127,772 ","18,303 ","82,323 ","27,145 ",14.3 ,64.4 ,21.2 ,,
    21,(2009),"127,719 ","18,306 ","81,603 ","27,810 ",14.3 ,63.9 ,21.8 ,,
,,,,,,,,,,
    22,(2010),"127,623 ","18,310 ","81,187 ","28,126 ",14.3 ,63.6 ,22.0 ,,
    23,(2011),"127,481 ","18,277 ","80,893 ","28,311 ",14.3 ,63.5 ,22.2 ,,
    24,(2012),"127,292 ","18,227 ","79,834 ","29,232 ",14.3 ,62.7 ,23.0 ,,
    25,(2013),"127,056 ","18,156 ","78,691 ","30,209 ",14.3 ,61.9 ,23.8 ,,
    26,(2014),"126,773 ","18,060 ","77,547 ","31,166 ",14.2 ,61.2 ,24.6 ,,
,,,,,,,,,,
    27,(2015),"126,444 ","17,939 ","76,622 ","31,883 ",14.2 ,60.6 ,25.2 ,,
    28,(2016),"126,068 ","17,791 ","75,856 ","32,421 ",14.1 ,60.2 ,25.7 ,,
