年　次,,"人　口（1,000人）",,,,,割　合（％）,,,
,,総　数,0～19歳,20～64歳,65～74歳,75歳以上,0～19歳,20～64歳,65～74歳,75歳以上
平成 12,(2000),"126,926 ","26,007 ","78,878 ","13,028 ","9,012 ",20.5 ,62.1 ,10.3 ,7.1 
13,(2001),"127,183 ","25,658 ","78,682 ","13,320 ","9,523 ",20.2 ,61.9 ,10.5 ,7.5 
14,(2002),"127,377 ","25,318 ","78,478 ","13,578 ","10,003 ",19.9 ,61.6 ,10.7 ,7.9 
15,(2003),"127,524 ","24,967 ","78,338 ","13,742 ","10,478 ",19.6 ,61.4 ,10.8 ,8.2 
16,(2004),"127,635 ","24,617 ","78,297 ","13,770 ","10,952 ",19.3 ,61.3 ,10.8 ,8.6 
17,(2005),"127,708 ","24,301 ","78,016 ","13,969 ","11,422 ",19.0 ,61.1 ,10.9 ,8.9 
18,(2006),"127,741 ","24,032 ","77,537 ","14,258 ","11,913 ",18.8 ,60.7 ,11.2 ,9.3 
19,(2007),"127,733 ","23,771 ","77,002 ","14,556 ","12,403 ",18.6 ,60.3 ,11.4 ,9.7 
20,(2008),"127,686 ","23,532 ","76,496 ","14,773 ","12,884 ",18.4 ,59.9 ,11.6 ,10.1 
21,(2009),"127,599 ","23,328 ","75,901 ","15,047 ","13,323 ",18.3 ,59.5 ,11.8 ,10.4 
22,(2010),"127,473 ","23,133 ","75,606 ","14,942 ","13,792 ",18.1 ,59.3 ,11.7 ,10.8 
23,(2011),"127,309 ","22,952 ","75,389 ","14,690 ","14,278 ",18.0 ,59.2 ,11.5 ,11.2 
24,(2012),"127,107 ","22,758 ","74,406 ","15,216 ","14,726 ",17.9 ,58.5 ,12.0 ,11.6 
25,(2013),"126,865 ","22,572 ","73,312 ","15,887 ","15,095 ",17.8 ,57.8 ,12.5 ,11.9 
26,(2014),"126,585 ","22,353 ","72,239 ","16,649 ","15,344 ",17.7 ,57.1 ,13.2 ,12.1 
27,(2015),"126,266 ","22,125 ","71,369 ","17,037 ","15,735 ",17.5 ,56.5 ,13.5 ,12.5 
28,(2016),"125,909 ","21,902 ","70,635 ","17,152 ","16,220 ",17.4 ,56.1 ,13.6 ,12.9 
29,(2017),"125,513 ","21,661 ","70,020 ","17,123 ","16,710 ",17.3 ,55.8 ,13.6 ,13.3 
30,(2018),"125,080 ","21,403 ","69,507 ","17,049 ","17,120 ",17.1 ,55.6 ,13.6 ,13.7 
31,(2019),"124,611 ","21,161 ","69,071 ","16,835 ","17,544 ",17.0 ,55.4 ,13.5 ,14.1 
32,(2020),"124,107 ","20,903 ","68,644 ","16,893 ","17,666 ",16.8 ,55.3 ,13.6 ,14.2 
33,(2021),"123,570 ","20,618 ","68,289 ","16,983 ","17,680 ",16.7 ,55.3 ,13.7 ,14.3 
34,(2022),"123,002 ","20,333 ","67,998 ","16,328 ","18,343 ",16.5 ,55.3 ,13.3 ,14.9 
35,(2023),"122,406 ","20,050 ","67,663 ","15,629 ","19,065 ",16.4 ,55.3 ,12.8 ,15.6 
36,(2024),"121,784 ","19,771 ","67,279 ","14,971 ","19,763 ",16.2 ,55.2 ,12.3 ,16.2 
