年　次,,中　位,高　位,低　位
,,,,
平成 7,(1995),1.42170 ,1.42170 ,1.42170 
     8,(1996),1.42151 ,1.42151 ,1.42151 
     9,(1997),1.39656 ,1.42620 ,1.37903 
    10,(1998),1.38530 ,1.44524 ,1.35025 
    11,(1999),1.38001 ,1.47012 ,1.32764 
,,,,
    12,(2000),1.37987 ,1.49919 ,1.31050 
    13,(2001),1.38393 ,1.53074 ,1.29801 
    14,(2002),1.39131 ,1.56327 ,1.28936 
    15,(2003),1.40124 ,1.59545 ,1.28387 
    16,(2004),1.41306 ,1.62632 ,1.28105 
,,,,
    17,(2005),1.42630 ,1.65537 ,1.28053 
    18,(2006),1.44045 ,1.68212 ,1.28203 
    19,(2007),1.45516 ,1.70628 ,1.28531 
    20,(2008),1.47005 ,1.72782 ,1.29010 
    21,(2009),1.48475 ,1.74684 ,1.29612 
,,,,
    22,(2010),1.49890 ,1.76345 ,1.30309 
    23,(2011),1.51221 ,1.77781 ,1.31064 
    24,(2012),1.52449 ,1.79017 ,1.31842 
    25,(2013),1.53563 ,1.80071 ,1.32612 
    26,(2014),1.54634 ,1.81015 ,1.33394 
,,,,
    27,(2015),1.55662 ,1.81862 ,1.34169 
    28,(2016),1.56624 ,1.82606 ,1.34907 
    29,(2017),1.57494 ,1.83243 ,1.35575 
    30,(2018),1.58245 ,1.83765 ,1.36144 
    31,(2019),1.58851 ,1.84170 ,1.36602 
,,,,
    32,(2020),1.59335 ,1.84480 ,1.36964 
    33,(2021),1.59722 ,1.84717 ,1.37249 
    34,(2022),1.60028 ,1.84897 ,1.37471 
    35,(2023),1.60271 ,1.85032 ,1.37641 
    36,(2024),1.60460 ,1.85133 ,1.37770 
,,,,
    37,(2025),1.60607 ,1.85208 ,1.37866 
    38,(2026),1.60720 ,1.85263 ,1.37936 
    39,(2027),1.60807 ,1.85303 ,1.37986 
    40,(2028),1.60873 ,1.85331 ,1.38022 
    41,(2029),1.60922 ,1.85352 ,1.38048 
,,,,
    42,(2030),1.60960 ,1.85367 ,1.38066 
    43,(2031),1.60960 ,1.85367 ,1.38066 
    44,(2032),1.60960 ,1.85367 ,1.38066 
    45,(2033),1.60960 ,1.85367 ,1.38066 
    46,(2034),1.60960 ,1.85367 ,1.38066 
,,,,
    47,(2035),1.60960 ,1.85367 ,1.38066 
    48,(2036),1.60960 ,1.85367 ,1.38066 
    49,(2037),1.60960 ,1.85367 ,1.38066 
    50,(2038),1.60960 ,1.85367 ,1.38066 
    51,(2039),1.60960 ,1.85367 ,1.38066 
,,,,
    52,(2040),1.60960 ,1.85367 ,1.38066 
    53,(2041),1.60960 ,1.85367 ,1.38066 
    54,(2042),1.60960 ,1.85367 ,1.38066 
    55,(2043),1.60960 ,1.85367 ,1.38066 
    56,(2044),1.60960 ,1.85367 ,1.38066 
,,,,
    57,(2045),1.60960 ,1.85367 ,1.38066 
    58,(2046),1.60960 ,1.85367 ,1.38066 
    59,(2047),1.60960 ,1.85367 ,1.38066 
    60,(2048),1.60960 ,1.85367 ,1.38066 
    61,(2049),1.60960 ,1.85367 ,1.38066 
,,,,
    62,(2050),1.60960 ,1.85367 ,1.38066 
,,,,
,,,,
平成７(1995)年は実績値である．,,,,
