年　次,,中位,高位,低位
平成 12,(2000),1.35918 ,1.35918 ,1.35918 
13,(2001),1.34277 ,1.36761 ,1.31671 
14,(2002),1.33240 ,1.36752 ,1.29344 
15,(2003),1.32344 ,1.37084 ,1.26896 
16,(2004),1.31686 ,1.37857 ,1.24511 
17,(2005),1.31076 ,1.38831 ,1.22074 
18,(2006),1.30696 ,1.40118 ,1.19843 
19,(2007),1.30622 ,1.41744 ,1.17963 
20,(2008),1.30816 ,1.43632 ,1.16432 
21,(2009),1.31166 ,1.45585 ,1.15156 
22,(2010),1.31786 ,1.47677 ,1.14260 
23,(2011),1.32471 ,1.49694 ,1.13555 
24,(2012),1.33225 ,1.51606 ,1.13025 
25,(2013),1.33929 ,1.53359 ,1.12556 
26,(2014),1.34688 ,1.55023 ,1.12258 
27,(2015),1.35370 ,1.56484 ,1.12022 
28,(2016),1.36028 ,1.57793 ,1.11880 
29,(2017),1.36509 ,1.58814 ,1.11677 
30,(2018),1.36881 ,1.59634 ,1.11469 
31,(2019),1.37303 ,1.60418 ,1.11407 
32,(2020),1.37522 ,1.60924 ,1.11222 
33,(2021),1.37673 ,1.61295 ,1.11039 
34,(2022),1.37890 ,1.61674 ,1.10983 
35,(2023),1.37992 ,1.61885 ,1.10857 
36,(2024),1.38091 ,1.62060 ,1.10769 
37,(2025),1.38191 ,1.62208 ,1.10713 
38,(2026),1.38214 ,1.62256 ,1.10603 
39,(2027),1.38253 ,1.62303 ,1.10527 
40,(2028),1.38304 ,1.62348 ,1.10475 
41,(2029),1.38361 ,1.62391 ,1.10441 
42,(2030),1.38420 ,1.62429 ,1.10419 
43,(2031),1.38477 ,1.62460 ,1.10404 
44,(2032),1.38528 ,1.62485 ,1.10392 
45,(2033),1.38565 ,1.62496 ,1.10375 
46,(2034),1.38599 ,1.62505 ,1.10363 
47,(2035),1.38629 ,1.62514 ,1.10356 
48,(2036),1.38654 ,1.62521 ,1.10351 
49,(2037),1.38673 ,1.62526 ,1.10347 
50,(2038),1.38688 ,1.62530 ,1.10344 
51,(2039),1.38699 ,1.62533 ,1.10342 
52,(2040),1.38708 ,1.62535 ,1.10340 
53,(2041),1.38714 ,1.62536 ,1.10339 
54,(2042),1.38718 ,1.62537 ,1.10339 
55,(2043),1.38721 ,1.62538 ,1.10338 
56,(2044),1.38723 ,1.62538 ,1.10338 
57,(2045),1.38725 ,1.62538 ,1.10338 
58,(2046),1.38725 ,1.62538 ,1.10338 
59,(2047),1.38726 ,1.62538 ,1.10338 
60,(2048),1.38726 ,1.62538 ,1.10338 
61,(2049),1.38726 ,1.62538 ,1.10338 
62,(2050),1.38726 ,1.62538 ,1.10338 
,,,,
平成12(2000)年は実績値である.,,,,
